territorio,genere,ritenzione_%,coorte,nome_territorio
VICINI5,F,98.6,15-19 nel 2021,vicinato (5 comuni)
VICINI5,M,99.1,15-19 nel 2021,vicinato (5 comuni)
VICINI5,F,100.1,20-24 nel 2021,vicinato (5 comuni)
VICINI5,M,98.0,20-24 nel 2021,vicinato (5 comuni)
VICINI5,F,102.4,25-29 nel 2021,vicinato (5 comuni)
VICINI5,M,99.7,25-29 nel 2021,vicinato (5 comuni)
