territorio,anno,eta,genere,popolazione,occupati,tasso_occupazione,quota_casalinghe,nome_territorio
082053,2023,Y50-64,F,74884.0,31507.0,42.0744,43.8351,Palermo
082053,2023,Y50-64,M,67239.0,45356.0,67.4549,5.476,Palermo
082053,2024,Y15-24,F,32672.0,3133.0,9.5893,11.328,Palermo
082053,2024,Y15-24,M,34363.0,5683.0,16.5381,1.396,Palermo
082053,2024,Y25-49,F,94681.0,45437.0,47.9896,33.7612,Palermo
082053,2024,Y25-49,M,92326.0,63790.0,69.0921,3.4645,Palermo
082053,2024,Y50-64,F,75252.0,32883.0,43.6972,43.2216,Palermo
082053,2024,Y50-64,M,67703.0,46867.0,69.2244,4.7745,Palermo
IT,2018,Y15-24,F,2792434.0,392972.0,14.0727,4.9735,Italia
IT,2018,Y15-24,M,3043549.0,678852.0,22.3046,0.3195,Italia
IT,2018,Y25-49,F,9615362.0,5740438.0,59.7007,20.3953,Italia
IT,2018,Y25-49,M,9692781.0,7541825.0,77.8087,0.9978,Italia
IT,2018,Y50-64,F,6717970.0,3448612.0,51.3341,29.089,Italia
IT,2018,Y50-64,M,6389475.0,4608995.0,72.1342,1.4473,Italia
IT,2019,Y15-24,F,2792459.0,404460.0,14.484,4.5721,Italia
IT,2019,Y15-24,M,3034485.0,697746.0,22.9939,0.3532,Italia
IT,2019,Y25-49,F,9417183.0,5709857.0,60.6323,19.8074,Italia
IT,2019,Y25-49,M,9503172.0,7481342.0,78.7247,0.9848,Italia
IT,2019,Y50-64,F,6815471.0,3558336.0,52.2097,28.949,Italia
IT,2019,Y50-64,M,6492074.0,4719730.0,72.6999,1.4662,Italia
IT,2020,Y25-49,F,9177408.0,,,,Italia
IT,2020,Y25-49,M,9278640.0,,,,Italia
IT,2020,Y50-64,F,6848378.0,,,,Italia
IT,2020,Y50-64,M,6539358.0,,,,Italia
IT,2021,Y15-24,F,2775037.0,416292.0,15.0013,5.709,Italia
IT,2021,Y15-24,M,3014421.0,746126.0,24.7519,0.5952,Italia
IT,2021,Y25-49,F,8974915.0,5645813.0,62.9066,20.5563,Italia
IT,2021,Y25-49,M,9128905.0,7326537.0,80.2565,1.51,Italia
IT,2021,Y50-64,F,6935237.0,3707275.0,53.4556,29.0271,Italia
IT,2021,Y50-64,M,6660419.0,4875673.0,73.2037,2.1781,Italia
IT,2022,Y15-24,F,2796244.0,458524.0,16.3979,4.6069,Italia
IT,2022,Y15-24,M,3037208.0,794188.0,26.1486,0.4433,Italia
IT,2022,Y25-49,F,8851166.0,5655629.0,63.897,19.791,Italia
IT,2022,Y25-49,M,9022831.0,7291123.0,80.8075,1.5323,Italia
IT,2022,Y50-64,F,7022824.0,3790458.0,53.9734,28.0579,Italia
IT,2022,Y50-64,M,6741532.0,4964481.0,73.6402,2.2081,Italia
IT,2023,Y15-24,F,2811640.0,475260.0,16.9033,4.4017,Italia
IT,2023,Y15-24,M,3059980.0,809131.0,26.4424,0.498,Italia
IT,2023,Y25-49,F,8706662.0,5747162.0,66.0088,18.8067,Italia
IT,2023,Y25-49,M,8937684.0,7289117.0,81.5549,1.6308,Italia
IT,2023,Y50-64,F,7092672.0,3978619.0,56.0948,26.9441,Italia
IT,2023,Y50-64,M,6819589.0,5127807.0,75.1923,2.3199,Italia
IT,2024,Y15-24,F,2822968.0,487633.0,17.2738,4.5857,Italia
IT,2024,Y15-24,M,3088740.0,831827.0,26.9309,0.5639,Italia
IT,2024,Y25-49,F,8559987.0,5740173.0,67.0582,18.0869,Italia
IT,2024,Y25-49,M,8843324.0,7259764.0,82.0932,1.5217,Italia
IT,2024,Y50-64,F,7151485.0,4123719.0,57.6624,26.2233,Italia
IT,2024,Y50-64,M,6877044.0,5243233.0,76.2425,2.1552,Italia
ITG1,2018,Y15-24,F,258223.0,19411.0,7.5171,9.9449,Sicilia
ITG1,2018,Y15-24,M,280088.0,41530.0,14.8275,0.6601,Sicilia
ITG1,2018,Y25-49,F,807985.0,307427.0,38.0486,33.2235,Sicilia
ITG1,2018,Y25-49,M,804917.0,504411.0,62.6662,1.669,Sicilia
ITG1,2018,Y50-64,F,540698.0,196573.0,36.3554,43.9534,Sicilia
ITG1,2018,Y50-64,M,499758.0,321359.0,64.3029,2.2297,Sicilia
ITG1,2019,Y15-24,F,254307.0,20244.0,7.9605,9.1091,Sicilia
