territorio,nome,treno,oltre_30_min,quota_fuori,km_capoluogo,pendolari,pendolari_fuori
081001,Alcamo,0.3293419260403749,58.57552356363066,22.43776538173341,24.18189953250158,12011.0,3443.23
081002,Buseto Palizzolo,0.0,31.334622823984525,45.489199491740784,10.618598448006214,787.0,517.0
081003,Calatafimi-Segesta,0.0,45.66831683168317,29.74644403215832,14.003650738289641,1617.0,808.0
081004,Campobello di Mazara,7.665505226480836,26.21951219512195,30.864197530864196,32.20981642294784,2268.0,1148.0
081005,Castellammare del Golfo,0.9118541033434651,47.41641337386018,25.480367585630745,16.77916595066632,3591.0,1316.0
081006,Castelvetrano,9.454554620154257,53.25717094318697,17.386609071274297,28.1345978112359,7408.0,1586.96
081007,Custonaci,0.0,36.68122270742358,29.624478442280946,19.527140010764505,1438.0,687.0
081008,Erice,0.09109677547120303,11.037397536756394,62.33023588277341,15.950183760696927,6995.0,6059.49
081009,Favignana,0.0,80.54298642533936,8.859223300970873,34.94074755926095,824.0,221.0
081010,Gibellina,0.6954102920723226,28.51182197496523,49.32692307692308,24.0410080695465,1040.0,719.0
081011,Marsala,10.476315354044326,49.58462503863409,15.942850663340515,14.404719504384666,17638.0,3203.13
081012,Mazara del Vallo,21.91043472520553,50.743669038079716,14.582902090664458,24.506788814530555,9662.0,1969.29
081013,Paceco,0.20797227036395147,13.448873483535529,64.69588854909956,10.25169068983258,2943.0,2885.0
081014,Pantelleria,0.0,94.44444444444444,0.6001091107474086,138.68162133822923,1833.0,18.0
081015,Partanna,0.940733772342427,35.465663217309505,36.755892928485814,26.216153569888927,2503.0,1063.0
081016,Poggioreale,0.0,52.17391304347826,38.95705521472393,32.136624744985276,326.0,207.0
081017,Salaparuta,0.0,65.86538461538461,30.617283950617285,28.844727854497084,405.0,208.0
081018,Salemi,0.3325942350332594,50.66518847006652,26.810176125244617,10.660303185181931,2555.0,902.0
081019,Santa Ninfa,0.819672131147541,31.147540983606557,32.77591973244147,19.287707173223055,1196.0,610.0
081020,San Vito Lo Capo,0.0,73.13829787234043,18.951612903225808,25.1098433487746,992.0,376.0
081021,Trapani,0.9924250168878626,21.81530992485152,21.741501545173605,0.0,16503.0,4988.79
081022,Valderice,0.22641509433962265,15.056603773584905,58.481575603557815,15.603136767970728,3148.0,2650.0
081023,Vita,0.0,30.38961038961039,49.9054820415879,13.036548661359724,529.0,385.0
081024,Petrosino,4.030226700251889,27.539882451721244,47.710396039603964,27.989205651464996,1616.0,1191.0
082001,Alia,24.67866323907455,67.60925449871465,31.645569620253166,56.0713743812295,790.0,389.0
082002,Alimena,0.0,39.38223938223938,42.48496993987976,86.38913207689959,499.0,259.0
082003,Aliminusa,2.6178010471204187,57.59162303664922,55.833333333333336,50.86714564431544,240.0,191.0
082004,Altavilla Milicia,8.2541567695962,40.08313539192399,64.51800232288038,26.915017741030752,1722.0,1684.0
082005,Altofonte,0.22710068130204392,39.06131718395155,68.39622641509433,12.217896422870837,2544.0,2642.0
082006,Bagheria,21.89499999241527,47.73967376547096,43.199139245046176,17.54280211368754,11153.0,6592.19
082007,Balestrate,1.56062424969988,38.895558223289314,42.280285035629454,27.84995850984342,1263.0,833.0
082008,Baucina,0.0,66.35514018691589,45.87973273942094,29.69456120234815,449.0,321.0
082009,Belmonte Mezzagno,0.10582010582010581,63.17460317460318,49.34901301973961,13.274595436396547,2381.0,1890.0
082010,Bisacquino,0.0,46.25984251968504,34.19833178869323,41.24331951965069,1079.0,508.0
082011,Bolognetta,0.0,57.88712011577424,52.22088835534214,22.24112859096858,833.0,691.0
082012,Bompietro,0.0,32.394366197183096,46.27831715210356,82.41367888888348,309.0,213.0
082013,Borgetto,0.3965631196298744,23.397224058162593,57.80821917808219,17.249773012999327,1460.0,1513.0
082014,Caccamo,4.339796860572484,52.0775623268698,37.37075332348597,43.21896495752761,2031.0,1083.0
082015,Caltavuturo,0.0,72.71028037383178,37.344398340248965,66.96474178252313,964.0,535.0
082016,Campofelice di Fitalia,0.0,64.1025641025641,25.663716814159294,39.8811728137476,113.0,78.0
082017,Campofelice di Roccella,11.716417910447761,36.940298507462686,52.00892857142857,52.91556309820391,1792.0,1340.0
082018,Campofiorito,0.0,23.444976076555022,52.17391304347826,42.78946433410916,276.0,209.0
082019,Camporeale,0.0,72.5925925925926,27.365728900255753,33.46976362330633,782.0,405.0
082020,Capaci,2.6335311572700295,27.448071216617212,72.65812650120095,7.351361846624066,2498.0,2696.0
082021,Carini,4.591134177921136,36.92223097758401,49.816760322501835,11.562077538228154,8186.0,6383.39
082022,Castelbuono,3.6241610738255035,63.89261744966443,24.724342663273962,72.84197480162108,2358.0,745.0
082023,Casteldaccia,10.85613415710503,34.686672550750224,57.56426464391066,23.216499068550366,2373.0,2266.0
082024,Castellana Sicula,0.0,35.45454545454545,43.86363636363637,77.62016093773575,880.0,550.0
082025,Castronovo di Sicilia,1.4619883040935673,40.93567251461988,22.827496757457848,55.300656867708184,771.0,342.0
082026,Cefalà Diana,0.0,44.71830985915493,66.66666666666667,28.145078237588894,252.0,284.0
082027,Cefalù,25.529767911200807,66.19576185671039,19.968960165545784,66.01599961373,3866.0,991.0
082028,Cerda,3.823178016726404,46.59498207885304,45.77352472089314,52.31039098496588,1254.0,837.0
082029,Chiusa Sclafani,0.0,39.949748743718594,35.84905660377358,52.68425808531425,636.0,398.0
082030,Ciminna,0.25510204081632654,73.72448979591837,37.944664031620555,36.16025511525051,759.0,392.0
082031,Cinisi,5.689001264222503,35.86177833965444,49.14365606431318,17.361353403464836,2861.0,2373.0
082032,Collesano,2.982456140350877,50.70175438596491,39.98025666337611,57.532487561377,1013.0,570.0
082033,Contessa Entellina,0.0,59.64912280701754,17.857142857142858,47.78140747194456,420.0,171.0
082034,Corleone,0.0,72.45989304812834,19.42209217264082,38.379833311258665,2734.0,748.0
082035,Ficarazzi,8.81404514510928,35.50698674310283,72.41100323624596,14.376102009933012,2472.0,2791.0
082036,Gangi,0.0,46.837606837606835,28.151027207107163,91.12415743369043,1801.0,585.0
