territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2019,F,Y50-54,ALL,TOTAL,2137
082006,2020,F,Y50-54,ALL,TOTAL,2099
082006,2021,F,Y50-54,ALL,TOTAL,2141
082006,2022,F,Y50-54,ALL,TOTAL,2130
082006,2023,F,Y50-54,ALL,TOTAL,2116
082006,2024,F,Y50-54,ALL,TOTAL,2110
082006,2001,F,Y55-59,ALL,TOTAL,1300
082006,2011,F,Y55-59,ALL,TOTAL,1698
082006,2018,F,Y55-59,ALL,TOTAL,1965
082006,2019,F,Y55-59,ALL,TOTAL,1979
082006,2020,F,Y55-59,ALL,TOTAL,2009
082006,2021,F,Y55-59,ALL,TOTAL,2010
082006,2022,F,Y55-59,ALL,TOTAL,2044
082006,2023,F,Y55-59,ALL,TOTAL,2068
082006,2024,F,Y55-59,ALL,TOTAL,2114
082006,2001,F,Y5-9,ALL,TOTAL,1665
082006,2011,F,Y5-9,ALL,TOTAL,1448
082006,2018,F,Y5-9,ALL,TOTAL,1287
082006,2019,F,Y5-9,ALL,TOTAL,1241
082006,2020,F,Y5-9,ALL,TOTAL,1243
082006,2021,F,Y5-9,ALL,TOTAL,1211
082006,2022,F,Y5-9,ALL,TOTAL,1162
082006,2023,F,Y5-9,ALL,TOTAL,1177
082006,2024,F,Y5-9,ALL,TOTAL,1168
082006,2001,F,Y60-64,ALL,TOTAL,1257
082006,2011,F,Y60-64,ALL,TOTAL,1568
082006,2018,F,Y60-64,ALL,TOTAL,1713
082006,2019,F,Y60-64,ALL,TOTAL,1764
082006,2020,F,Y60-64,ALL,TOTAL,1775
082006,2021,F,Y60-64,ALL,TOTAL,1830
082006,2022,F,Y60-64,ALL,TOTAL,1908
082006,2023,F,Y60-64,ALL,TOTAL,1970
082006,2024,F,Y60-64,ALL,TOTAL,1987
082006,2001,F,Y65-69,ALL,TOTAL,1205
082006,2011,F,Y65-69,ALL,TOTAL,1298
082006,2018,F,Y65-69,ALL,TOTAL,1515
082006,2019,F,Y65-69,ALL,TOTAL,1527
082006,2020,F,Y65-69,ALL,TOTAL,1595
082006,2021,F,Y65-69,ALL,TOTAL,1666
082006,2022,F,Y65-69,ALL,TOTAL,1636
082006,2023,F,Y65-69,ALL,TOTAL,1676
082006,2024,F,Y65-69,ALL,TOTAL,1719
082006,2001,F,Y70-74,ALL,TOTAL,1029
082006,2011,F,Y70-74,ALL,TOTAL,1190
082006,2018,F,Y70-74,ALL,TOTAL,1363
082006,2019,F,Y70-74,ALL,TOTAL,1425
082006,2020,F,Y70-74,ALL,TOTAL,1493
082006,2021,F,Y70-74,ALL,TOTAL,1476
082006,2022,F,Y70-74,ALL,TOTAL,1519
082006,2023,F,Y70-74,ALL,TOTAL,1475
082006,2024,F,Y70-74,ALL,TOTAL,1478
082006,2001,F,Y75-79,ALL,TOTAL,810
082006,2011,F,Y75-79,ALL,TOTAL,1050
082006,2018,F,Y75-79,ALL,TOTAL,1036
082006,2019,F,Y75-79,ALL,TOTAL,1027
082006,2020,F,Y75-79,ALL,TOTAL,1055
