territorio,anno,tavola,genere,eta,eta_anni,cittadinanza,titolo_studio,condizione,valore
082023,2021,lavoro,F,Y_GE65,,TOTAL,ALL,24,627.534584461641
082023,2022,lavoro,F,Y_GE65,,TOTAL,ALL,24,582.345249442414
082023,2023,lavoro,F,Y_GE65,,TOTAL,ALL,24,540.3763068425391
082023,2024,lavoro,F,Y_GE65,,TOTAL,ALL,24,601.0534485542585
082023,2018,lavoro,F,Y_GE65,,TOTAL,ALL,4,397.0
082023,2019,lavoro,F,Y_GE65,,TOTAL,ALL,4,421.0
082023,2021,lavoro,F,Y_GE65,,TOTAL,ALL,4,441.631050175285
082023,2022,lavoro,F,Y_GE65,,TOTAL,ALL,4,479.072223522447
082023,2023,lavoro,F,Y_GE65,,TOTAL,ALL,4,486.9735168548544
082023,2024,lavoro,F,Y_GE65,,TOTAL,ALL,4,482.1491382466963
082023,2018,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.0
082023,2019,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.0
082023,2021,lavoro,F,Y_GE65,,TOTAL,ALL,5,1.06337451644034e-05
082023,2022,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.243175796529831
082023,2023,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.4692656878807719
082023,2024,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.1965557373486554
082023,2018,lavoro,F,Y_GE65,,TOTAL,ALL,7,182.0
082023,2019,lavoro,F,Y_GE65,,TOTAL,ALL,7,173.0
082023,2021,lavoro,F,Y_GE65,,TOTAL,ALL,7,153.933216158393
082023,2022,lavoro,F,Y_GE65,,TOTAL,ALL,7,183.124649969598
082023,2023,lavoro,F,Y_GE65,,TOTAL,ALL,7,229.69451779219827
082023,2024,lavoro,F,Y_GE65,,TOTAL,ALL,7,191.75239162806213
082023,2018,lavoro,F,Y_GE65,,TOTAL,ALL,99,1183.0
082023,2019,lavoro,F,Y_GE65,,TOTAL,ALL,99,1205.0
082023,2020,lavoro,F,Y_GE65,,TOTAL,ALL,99,1234.0
082023,2021,lavoro,F,Y_GE65,,TOTAL,ALL,99,1262.0
082023,2022,lavoro,F,Y_GE65,,TOTAL,ALL,99,1283.0
082023,2023,lavoro,F,Y_GE65,,TOTAL,ALL,99,1296.0
082023,2024,lavoro,F,Y_GE65,,TOTAL,ALL,99,1316.0
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,1,32.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,1,30.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,1,32.0
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,1,39.0
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,1,41.0
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,1,52.0
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,12,97.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,12,84.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,12,46.9458942799954
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,12,42.8124723056208
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,12,49.803442401059904
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,12,38.02019906191706
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,22,129.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,22,114.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,22,78.9458942799954
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,22,81.8124723056208
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,22,90.80344240105993
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,22,90.02019906191705
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,23,470.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,23,465.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,23,500.054105720005
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,23,512.187527694379
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,23,525.1965575989402
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,23,533.979800938083
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,24,1.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,24,1.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,24,0.346026561996336
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,24,0.327123095555821
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,24,0.2578668609011266
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,24,0.4587086024815478
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,4,76.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,4,67.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,4,93.9035623984499
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,4,69.738747272781
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,4,72.5003630033879
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,4,71.30964870603093
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,5,344.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,5,363.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,5,373.497981878973
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,5,414.476343599433
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,5,422.2857061136218
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,5,433.622137807068
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,7,49.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,7,34.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,7,32.3065348805854
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,7,27.6453137266099
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,7,30.152621621029365
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,7,28.58930582250248
082023,2018,lavoro,F,Y15-24,,TOTAL,ALL,99,599.0
082023,2019,lavoro,F,Y15-24,,TOTAL,ALL,99,579.0
082023,2021,lavoro,F,Y15-24,,TOTAL,ALL,99,579.0
082023,2022,lavoro,F,Y15-24,,TOTAL,ALL,99,594.0
082023,2023,lavoro,F,Y15-24,,TOTAL,ALL,99,616.0000000000001
082023,2024,lavoro,F,Y15-24,,TOTAL,ALL,99,624.0
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,1,667.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,1,641.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,1,735.0
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,1,745.0
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,1,746.0
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,1,810.0
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,12,333.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,12,335.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,12,167.257155680191
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,12,165.490422935187
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,12,176.26680373708984
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,12,139.31740462066958
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,22,1000.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,22,976.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,22,902.257155680191
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,22,910.490422935187
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,22,922.2668037370898
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,22,949.3174046206695
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,23,1026.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,23,1039.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,23,1054.74284431981
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,23,1005.50957706481
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,23,958.7331962629102
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,23,918.6825953793305
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,24,11.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,24,11.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,24,9.80376159123083
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,24,8.09329195347723
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,24,7.351369798976595
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,24,8.404139671071988
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,4,822.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,4,849.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,4,861.087560517321
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,4,804.407921857422
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,4,764.3884119630371
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,4,729.5784768548897
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,5,59.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,5,64.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,5,66.7296866863124
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,5,77.7710500569085
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,5,61.25342554290655
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,5,66.55604991846496
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,7,134.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,7,115.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,7,117.121835524945
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,7,115.237313197006
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,7,125.73998895798992
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,7,114.14392893490378
082023,2018,lavoro,F,Y25-49,,TOTAL,ALL,99,2026.0
082023,2019,lavoro,F,Y25-49,,TOTAL,ALL,99,2015.0
082023,2020,lavoro,F,Y25-49,,TOTAL,ALL,99,1980.0
082023,2021,lavoro,F,Y25-49,,TOTAL,ALL,99,1957.0
082023,2022,lavoro,F,Y25-49,,TOTAL,ALL,99,1916.0
082023,2023,lavoro,F,Y25-49,,TOTAL,ALL,99,1881.0
082023,2024,lavoro,F,Y25-49,,TOTAL,ALL,99,1868.0
082023,2018,lavoro,F,Y50-64,,TOTAL,ALL,1,289.0
082023,2019,lavoro,F,Y50-64,,TOTAL,ALL,1,304.0
082023,2021,lavoro,F,Y50-64,,TOTAL,ALL,1,350.0
082023,2022,lavoro,F,Y50-64,,TOTAL,ALL,1,392.0
082023,2023,lavoro,F,Y50-64,,TOTAL,ALL,1,425.0
082023,2024,lavoro,F,Y50-64,,TOTAL,ALL,1,453.0
082023,2018,lavoro,F,Y50-64,,TOTAL,ALL,12,85.0
082023,2019,lavoro,F,Y50-64,,TOTAL,ALL,12,87.0
082023,2021,lavoro,F,Y50-64,,TOTAL,ALL,12,51.4313730888335
082023,2022,lavoro,F,Y50-64,,TOTAL,ALL,12,51.2567927027273
082023,2023,lavoro,F,Y50-64,,TOTAL,ALL,12,63.32752324697361
082023,2024,lavoro,F,Y50-64,,TOTAL,ALL,12,53.24682248186235
082023,2018,lavoro,F,Y50-64,,TOTAL,ALL,22,374.0
082023,2019,lavoro,F,Y50-64,,TOTAL,ALL,22,391.0
082023,2021,lavoro,F,Y50-64,,TOTAL,ALL,22,401.431373088834
082023,2022,lavoro,F,Y50-64,,TOTAL,ALL,22,443.256792702727
082023,2023,lavoro,F,Y50-64,,TOTAL,ALL,22,488.3275232469736
082023,2024,lavoro,F,Y50-64,,TOTAL,ALL,22,506.2468224818624
082023,2018,lavoro,F,Y50-64,,TOTAL,ALL,23,707.0
