territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081001,2023,M,Y_GE15,TOTAL,ALL,24,4363.390406156606
081001,2024,M,Y_GE15,TOTAL,ALL,24,4413.747166677677
081001,2018,M,Y_GE15,TOTAL,ALL,4,187.0
081001,2019,M,Y_GE15,TOTAL,ALL,4,197.0
081001,2021,M,Y_GE15,TOTAL,ALL,4,359.694631604992
081001,2022,M,Y_GE15,TOTAL,ALL,4,354.072190908529
081001,2023,M,Y_GE15,TOTAL,ALL,4,391.889214406372
081001,2024,M,Y_GE15,TOTAL,ALL,4,337.2470875019205
081001,2018,M,Y_GE15,TOTAL,ALL,5,1746.0
081001,2019,M,Y_GE15,TOTAL,ALL,5,1811.0
081001,2021,M,Y_GE15,TOTAL,ALL,5,1719.74330796009
081001,2022,M,Y_GE15,TOTAL,ALL,5,1745.29950603058
081001,2023,M,Y_GE15,TOTAL,ALL,5,1772.86073413824
081001,2024,M,Y_GE15,TOTAL,ALL,5,1665.647127122979
081001,2018,M,Y_GE15,TOTAL,ALL,7,1931.0
081001,2019,M,Y_GE15,TOTAL,ALL,7,1784.0
081001,2021,M,Y_GE15,TOTAL,ALL,7,2179.42445648204
081001,2022,M,Y_GE15,TOTAL,ALL,7,1904.32919573439
081001,2023,M,Y_GE15,TOTAL,ALL,7,1930.709093443844
081001,2024,M,Y_GE15,TOTAL,ALL,7,1926.730212958891
081001,2018,M,Y_GE15,TOTAL,ALL,99,19206.0
081001,2019,M,Y_GE15,TOTAL,ALL,99,19195.0
081001,2021,M,Y_GE15,TOTAL,ALL,99,19098.0
081001,2022,M,Y_GE15,TOTAL,ALL,99,19138.0
081001,2023,M,Y_GE15,TOTAL,ALL,99,19189.0
081001,2024,M,Y_GE15,TOTAL,ALL,99,19279.0
081001,2018,T,Y_GE15,TOTAL,ALL,1,14460.0
081001,2019,T,Y_GE15,TOTAL,ALL,1,14664.0
081001,2021,T,Y_GE15,TOTAL,ALL,1,15042.0
081001,2022,T,Y_GE15,TOTAL,ALL,1,15427.0
081001,2023,T,Y_GE15,TOTAL,ALL,1,16007.0
081001,2024,T,Y_GE15,TOTAL,ALL,1,16606.0
081001,2018,T,Y_GE15,TOTAL,ALL,12,4162.0
081001,2019,T,Y_GE15,TOTAL,ALL,12,4067.0
081001,2021,T,Y_GE15,TOTAL,ALL,12,2123.02816614059
081001,2022,T,Y_GE15,TOTAL,ALL,12,2082.55253706851
081001,2023,T,Y_GE15,TOTAL,ALL,12,1879.4509603673853
081001,2024,T,Y_GE15,TOTAL,ALL,12,1621.818594636426
081001,2018,T,Y_GE15,TOTAL,ALL,22,18622.0
081001,2019,T,Y_GE15,TOTAL,ALL,22,18731.0
081001,2021,T,Y_GE15,TOTAL,ALL,22,17165.0281661406
081001,2022,T,Y_GE15,TOTAL,ALL,22,17509.5525370685
081001,2023,T,Y_GE15,TOTAL,ALL,22,17886.450960367387
081001,2024,T,Y_GE15,TOTAL,ALL,22,18227.818594636425
081001,2018,T,Y_GE15,TOTAL,ALL,23,20618.0
081001,2019,T,Y_GE15,TOTAL,ALL,23,20460.0
081001,2021,T,Y_GE15,TOTAL,ALL,23,21726.9718338594
081001,2022,T,Y_GE15,TOTAL,ALL,23,21399.4474629315
081001,2023,T,Y_GE15,TOTAL,ALL,23,21074.549039632617
081001,2024,T,Y_GE15,TOTAL,ALL,23,20780.18140536357
081001,2018,T,Y_GE15,TOTAL,ALL,24,7816.0
081001,2019,T,Y_GE15,TOTAL,ALL,24,7761.0
081001,2021,T,Y_GE15,TOTAL,ALL,24,8146.53045301072
081001,2022,T,Y_GE15,TOTAL,ALL,24,8306.84335108866
081001,2023,T,Y_GE15,TOTAL,ALL,24,7902.0064290795235
081001,2024,T,Y_GE15,TOTAL,ALL,24,8015.106652308598
081001,2018,T,Y_GE15,TOTAL,ALL,4,5790.0
081001,2019,T,Y_GE15,TOTAL,ALL,4,5769.0
081001,2021,T,Y_GE15,TOTAL,ALL,4,6260.26066317656
081001,2022,T,Y_GE15,TOTAL,ALL,4,6156.58888182882
081001,2023,T,Y_GE15,TOTAL,ALL,4,6083.775878053362
081001,2024,T,Y_GE15,TOTAL,ALL,4,5852.918280424972
081001,2018,T,Y_GE15,TOTAL,ALL,5,3576.0
081001,2019,T,Y_GE15,TOTAL,ALL,5,3723.0
081001,2021,T,Y_GE15,TOTAL,ALL,5,3605.04035294475
081001,2022,T,Y_GE15,TOTAL,ALL,5,3601.04838785681
081001,2023,T,Y_GE15,TOTAL,ALL,5,3673.618714527458
081001,2024,T,Y_GE15,TOTAL,ALL,5,3540.048033766477
081001,2018,T,Y_GE15,TOTAL,ALL,7,3437.0
081001,2019,T,Y_GE15,TOTAL,ALL,7,3208.0
081001,2021,T,Y_GE15,TOTAL,ALL,7,3715.14036472738
081001,2022,T,Y_GE15,TOTAL,ALL,7,3334.9668421572
081001,2023,T,Y_GE15,TOTAL,ALL,7,3415.148017972272
081001,2024,T,Y_GE15,TOTAL,ALL,7,3372.1084388635268
081001,2018,T,Y_GE15,TOTAL,ALL,99,39240.0
