territorio,anno,eta,classe,genere,occupati,popolazione,tasso_occupazione
ITG1,2018,Y50-64,50-64,T,517932.0,1040456.0,49.77932752562338
ITG1,2019,Y50-64,50-64,T,527194.0,1050836.0,50.1690082943485
ITG1,2021,Y50-64,50-64,T,548477.0,1070304.0,51.244973390737584
ITG1,2022,Y50-64,50-64,T,555878.0,1077300.0,51.599183143042794
ITG1,2023,Y50-64,50-64,T,579365.0,1084116.0,53.441236915606815
ITG1,2024,Y50-64,50-64,T,599357.0,1090854.0,54.94383299689968
ITG1,2018,Y_GE15,15+ (totale),T,1454343.0,4232217.0,34.36362076897286
ITG1,2019,Y_GE15,15+ (totale),T,1472130.0,4212900.0,34.94338816492203
ITG1,2021,Y_GE15,15+ (totale),T,1497357.0,4182805.0,35.797915513632596
ITG1,2022,Y_GE15,15+ (totale),T,1526210.0,4174260.0,36.56240866644627
ITG1,2023,Y_GE15,15+ (totale),T,1566947.0,4169406.0,37.58202007672076
ITG1,2024,Y_GE15,15+ (totale),T,1606722.0,4171953.0,38.512466463548364
ITG1,2018,Y_GE65,65+,T,63632.0,1040548.0,6.115239277765178
ITG1,2019,Y_GE65,65+,T,74076.0,1056210.0,7.013378021416195
ITG1,2021,Y_GE65,65+,T,60846.0,1089969.0,5.5823605992464005
ITG1,2022,Y_GE65,65+,T,70599.0,1100270.0,6.416515946085961
ITG1,2023,Y_GE65,65+,T,69300.0,1114595.0,6.217505013031639
ITG1,2024,Y_GE65,65+,T,74916.0,1133846.0,6.607246486736294
