orizzonte,tasso_obiettivo_pct,occupate_2024,platea,kpi_lordo,attrito_demografico,kpi_netto
2029,9.59,236,2651,40.4,-22.2,18.2
2034,9.59,236,2435,40.4,-42.9,-2.5
