territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2022,F,Y16,16.0,ALL,TOTAL,63
082023,2023,F,Y16,16.0,ALL,TOTAL,58
082023,2024,F,Y16,16.0,ALL,TOTAL,62
082023,2023,F,Y17,17.0,ALL,FRGAPO,4
082023,2021,F,Y17,17.0,ALL,ITL,52
082023,2022,F,Y17,17.0,ALL,ITL,69
082023,2023,F,Y17,17.0,ALL,ITL,60
082023,2024,F,Y17,17.0,ALL,ITL,57
082023,2021,F,Y17,17.0,ALL,TOTAL,52
082023,2022,F,Y17,17.0,ALL,TOTAL,69
082023,2023,F,Y17,17.0,ALL,TOTAL,64
082023,2024,F,Y17,17.0,ALL,TOTAL,57
082023,2021,F,Y18,18.0,ALL,FRGAPO,1
082023,2024,F,Y18,18.0,ALL,FRGAPO,3
082023,2021,F,Y18,18.0,ALL,ITL,60
082023,2022,F,Y18,18.0,ALL,ITL,55
082023,2023,F,Y18,18.0,ALL,ITL,67
082023,2024,F,Y18,18.0,ALL,ITL,60
082023,2021,F,Y18,18.0,ALL,TOTAL,61
082023,2022,F,Y18,18.0,ALL,TOTAL,55
082023,2023,F,Y18,18.0,ALL,TOTAL,67
082023,2024,F,Y18,18.0,ALL,TOTAL,63
082023,2021,F,Y19,19.0,ALL,FRGAPO,1
082023,2022,F,Y19,19.0,ALL,FRGAPO,1
082023,2021,F,Y19,19.0,ALL,ITL,63
082023,2022,F,Y19,19.0,ALL,ITL,64
082023,2023,F,Y19,19.0,ALL,ITL,56
082023,2024,F,Y19,19.0,ALL,ITL,70
082023,2021,F,Y19,19.0,ALL,TOTAL,64
082023,2022,F,Y19,19.0,ALL,TOTAL,65
082023,2023,F,Y19,19.0,ALL,TOTAL,56
082023,2024,F,Y19,19.0,ALL,TOTAL,70
082023,2024,F,Y2,2.0,ALL,FRGAPO,1
082023,2021,F,Y2,2.0,ALL,ITL,69
082023,2022,F,Y2,2.0,ALL,ITL,47
082023,2023,F,Y2,2.0,ALL,ITL,45
082023,2024,F,Y2,2.0,ALL,ITL,42
082023,2021,F,Y2,2.0,ALL,TOTAL,69
082023,2022,F,Y2,2.0,ALL,TOTAL,47
082023,2023,F,Y2,2.0,ALL,TOTAL,45
082023,2024,F,Y2,2.0,ALL,TOTAL,43
082023,2022,F,Y20,20.0,ALL,FRGAPO,1
082023,2023,F,Y20,20.0,ALL,FRGAPO,2
082023,2021,F,Y20,20.0,ALL,ITL,62
082023,2022,F,Y20,20.0,ALL,ITL,66
082023,2023,F,Y20,20.0,ALL,ITL,66
082023,2024,F,Y20,20.0,ALL,ITL,56
082023,2021,F,Y20,20.0,ALL,TOTAL,62
082023,2022,F,Y20,20.0,ALL,TOTAL,67
082023,2023,F,Y20,20.0,ALL,TOTAL,68
082023,2024,F,Y20,20.0,ALL,TOTAL,56
082023,2023,F,Y21,21.0,ALL,FRGAPO,1
082023,2024,F,Y21,21.0,ALL,FRGAPO,3
082023,2021,F,Y21,21.0,ALL,ITL,50
082023,2022,F,Y21,21.0,ALL,ITL,63
082023,2023,F,Y21,21.0,ALL,ITL,63
082023,2024,F,Y21,21.0,ALL,ITL,67
