scenario,pendolari,km_capoluogo,atteso
comune mediano,1032.0,5.785416493218098,72.8146742765227
comune mediano,1032.0,6.152986565363457,71.88464192199936
comune mediano,1032.0,6.543909797665103,70.95460956747601
comune mediano,1032.0,6.959669907461887,70.02457721295268
comune mediano,1032.0,7.401844878441493,69.09454485842933
comune mediano,1032.0,7.872112949749204,68.164512503906
comune mediano,1032.0,8.372258985608104,67.23448014938265
comune mediano,1032.0,8.904181249626095,66.30444779485931
comune mediano,1032.0,9.46989860950106,65.37441544033597
comune mediano,1032.0,10.071558199469033,64.44438308581262
comune mediano,1032.0,10.711443569577588,63.51435073128927
comune mediano,1032.0,11.391983352714368,62.584318376765935
comune mediano,1032.0,12.115760482285681,61.6542860222426
comune mediano,1032.0,12.885521995530251,60.72425366771925
comune mediano,1032.0,13.704189459675618,59.794221313195905
comune mediano,1032.0,14.57487006050903,58.86418895867256
comune mediano,1032.0,15.50086839544836,57.93415660414924
comune mediano,1032.0,16.48569901587296,57.00412424962589
comune mediano,1032.0,17.533099766317537,56.07409189510254
comune mediano,1032.0,18.647045971157212,55.14405954057919
comune mediano,1032.0,19.831765522627826,54.21402718605586
comune mediano,1032.0,21.091754927447223,53.283994831532524
comune mediano,1032.0,22.43179637294074,52.353962477009176
comune mediano,1032.0,23.85697587744439,51.42393012248583
comune mediano,1032.0,25.372702593873846,50.493897767962494
comune mediano,1032.0,26.984729339724485,49.563865413439146
comune mediano,1032.0,28.699174431422335,48.63383305891581
comune mediano,1032.0,30.52254490589656,47.703800704392464
comune mediano,1032.0,32.46176121750902,46.773768349869115
comune mediano,1032.0,34.524183504076014,45.84373599534578
comune mediano,1032.0,36.717639521672794,44.91370364082243
comune mediano,1032.0,39.05045435424525,43.9836712862991
comune mediano,1032.0,41.53148201078908,43.05363893177575
comune mediano,1032.0,44.1701390300209,42.1236065772524
comune mediano,1032.0,46.976440220085166,41.19357422272907
comune mediano,1032.0,49.96103666894412,40.263541868205735
comune mediano,1032.0,53.13525616971609,39.33350951368239
comune mediano,1032.0,56.51114621439302,38.40347715915904
comune mediano,1032.0,60.10151971911667,37.47344480463569
comune mediano,1032.0,63.920003654559856,36.54341245011234
comune mediano,1032.0,67.98109076598566,35.61338009558901
comune mediano,1032.0,72.30019457928331,34.683347741065674
comune mediano,1032.0,76.89370790175258,33.753315386542326
comune mediano,1032.0,81.77906503967051,32.82328303201899
comune mediano,1032.0,86.97480796878355,31.893250677495644
comune mediano,1032.0,92.50065670886823,30.96321832297231
comune mediano,1032.0,98.3775841694631,30.03318596844896
comune mediano,1032.0,104.62789575084095,29.103153613925627
comune mediano,1032.0,111.27531400234206,28.17312125940228
comune mediano,1032.0,118.34506865938094,27.243088904878945
comune mediano,1032.0,125.86399240085561,26.313056550355597
comune mediano,1032.0,133.86062269039786,25.38302419583225
comune mediano,1032.0,142.3653100879968,24.4529918413089
comune mediano,1032.0,151.41033344307996,23.522959486785567
comune mediano,1032.0,161.0300224062627,22.59292713226222
comune mediano,1032.0,171.26088772474463,21.6628947777389
comune mediano,1032.0,182.14175981588195,20.73286242321555
comune mediano,1032.0,193.71393614487874,19.802830068692202
comune mediano,1032.0,206.0213379659582,18.872797714168854
comune mediano,1032.0,219.11067702191056,17.942765359645506
taglia di Bagheria,11974.0,5.785416493218098,58.787483681181584
taglia di Bagheria,11974.0,6.152986565363457,57.85745132665825
taglia di Bagheria,11974.0,6.543909797665103,56.9274189721349
taglia di Bagheria,11974.0,6.959669907461887,55.99738661761157
taglia di Bagheria,11974.0,7.401844878441493,55.06735426308822
taglia di Bagheria,11974.0,7.872112949749204,54.137321908564886
taglia di Bagheria,11974.0,8.372258985608104,53.20728955404154
taglia di Bagheria,11974.0,8.904181249626095,52.2772571995182
taglia di Bagheria,11974.0,9.46989860950106,51.347224844994855
taglia di Bagheria,11974.0,10.071558199469033,50.41719249047151
taglia di Bagheria,11974.0,10.711443569577588,49.48716013594816
taglia di Bagheria,11974.0,11.391983352714368,48.557127781424825
taglia di Bagheria,11974.0,12.115760482285681,47.62709542690149
taglia di Bagheria,11974.0,12.885521995530251,46.69706307237814
taglia di Bagheria,11974.0,13.704189459675618,45.767030717854794
taglia di Bagheria,11974.0,14.57487006050903,44.836998363331446
taglia di Bagheria,11974.0,15.50086839544836,43.906966008808126
taglia di Bagheria,11974.0,16.48569901587296,42.97693365428478
taglia di Bagheria,11974.0,17.533099766317537,42.04690129976143
taglia di Bagheria,11974.0,18.647045971157212,41.11686894523808
taglia di Bagheria,11974.0,19.831765522627826,40.18683659071475
taglia di Bagheria,11974.0,21.091754927447223,39.256804236191414
taglia di Bagheria,11974.0,22.43179637294074,38.326771881668066
taglia di Bagheria,11974.0,23.85697587744439,37.39673952714472
taglia di Bagheria,11974.0,25.372702593873846,36.46670717262138
taglia di Bagheria,11974.0,26.984729339724485,35.536674818098035
taglia di Bagheria,11974.0,28.699174431422335,34.6066424635747
taglia di Bagheria,11974.0,30.52254490589656,33.67661010905135
taglia di Bagheria,11974.0,32.46176121750902,32.746577754528005
taglia di Bagheria,11974.0,34.524183504076014,31.81654540000467
taglia di Bagheria,11974.0,36.717639521672794,30.886513045481323
taglia di Bagheria,11974.0,39.05045435424525,29.95648069095799
taglia di Bagheria,11974.0,41.53148201078908,29.02644833643464
taglia di Bagheria,11974.0,44.1701390300209,28.096415981911292
taglia di Bagheria,11974.0,46.976440220085166,27.166383627387958
taglia di Bagheria,11974.0,49.96103666894412,26.236351272864624
taglia di Bagheria,11974.0,53.13525616971609,25.306318918341276
taglia di Bagheria,11974.0,56.51114621439302,24.376286563817928
taglia di Bagheria,11974.0,60.10151971911667,23.44625420929458
taglia di Bagheria,11974.0,63.920003654559856,22.51622185477123
taglia di Bagheria,11974.0,67.98109076598566,21.586189500247897
taglia di Bagheria,11974.0,72.30019457928331,20.656157145724563
taglia di Bagheria,11974.0,76.89370790175258,19.726124791201215
taglia di Bagheria,11974.0,81.77906503967051,18.79609243667788
taglia di Bagheria,11974.0,86.97480796878355,17.866060082154533
taglia di Bagheria,11974.0,92.50065670886823,16.9360277276312
taglia di Bagheria,11974.0,98.3775841694631,16.00599537310785
taglia di Bagheria,11974.0,104.62789575084095,15.075963018584517
taglia di Bagheria,11974.0,111.27531400234206,14.145930664061169
taglia di Bagheria,11974.0,118.34506865938094,13.215898309537835
taglia di Bagheria,11974.0,125.86399240085561,12.285865955014486
taglia di Bagheria,11974.0,133.86062269039786,11.355833600491138
taglia di Bagheria,11974.0,142.3653100879968,10.42580124596779
taglia di Bagheria,11974.0,151.41033344307996,9.495768891444456
taglia di Bagheria,11974.0,161.0300224062627,8.565736536921108
