destinazione,comune,persone,quota_su_chi_esce,anno,motivo,x_dest,y_dest,x_orig,y_orig
081012,Mazara del Vallo,2,0.04151100041511,2011,lavoro,290708.0,4174090.0,368179,4215633
082026,Cefalà Diana,2,0.04151100041511,2011,lavoro,364856.0,4197477.0,368179,4215633
088001,Acate,2,0.04151100041511,2011,lavoro,449946.0,4096322.0,368179,4215633
082078,Vicari,2,0.04151100041511,2011,lavoro,374526.0,4183624.0,368179,4215633
082036,Gangi,2,0.04151100041511,2011,lavoro,431606.0,4178100.0,368179,4215633
082081,Scillato,2,0.04151100041511,2011,lavoro,405882.0,4190417.0,368179,4215633
083052,Mistretta,2,0.04151100041511,2011,lavoro,445723.0,4195386.0,368179,4215633
102047,102047,2,0.04151100041511,2011,lavoro,,,368179,4215633
083101,Tusa,2,0.04151100041511,2011,lavoro,433185.0,4204623.0,368179,4215633
082025,Castronovo di Sicilia,1,0.020755500207555,2011,lavoro,378223.0,4173825.0,368179,4215633
080063,080063,1,0.020755500207555,2011,lavoro,,,368179,4215633
082024,Castellana Sicula,1,0.020755500207555,2011,lavoro,414924.0,4177020.0,368179,4215633
082019,Camporeale,1,0.020755500207555,2011,lavoro,332365.0,4195476.0,368179,4215633
082015,Caltavuturo,1,0.020755500207555,2011,lavoro,405543.0,4182253.0,368179,4215633
081013,Paceco,1,0.020755500207555,2011,lavoro,289950.0,4202656.0,368179,4215633
082007,Balestrate,1,0.020755500207555,2011,lavoro,325771.0,4213332.0,368179,4215633
082010,Bisacquino,1,0.020755500207555,2011,lavoro,337668.0,4183889.0,368179,4215633
082013,Borgetto,1,0.020755500207555,2011,lavoro,338339.0,4212080.0,368179,4215633
082003,Aliminusa,1,0.020755500207555,2011,lavoro,392395.0,4191557.0,368179,4215633
082001,Alia,1,0.020755500207555,2011,lavoro,388774.0,4180167.0,368179,4215633
081015,Partanna,1,0.020755500207555,2011,lavoro,314613.0,4176455.0,368179,4215633
081018,Salemi,1,0.020755500207555,2011,lavoro,304551.0,4188375.0,368179,4215633
081005,Castellammare del Golfo,1,0.020755500207555,2011,lavoro,309378.0,4210186.0,368179,4215633
081006,Castelvetrano,1,0.020755500207555,2011,lavoro,308296.0,4170830.0,368179,4215633
081007,Custonaci,1,0.020755500207555,2011,lavoro,298460.0,4216793.0,368179,4215633
081011,Marsala,1,0.020755500207555,2011,lavoro,286601.0,4189405.0,368179,4215633
082075,Ustica,1,0.020755500207555,2011,lavoro,341372.0,4285547.0,368179,4215633
082068,Sciara,1,0.020755500207555,2011,lavoro,390347.0,4198336.0,368179,4215633
082063,San Cipirello,1,0.020755500207555,2011,lavoro,339962.0,4200436.0,368179,4215633
082058,Polizzi Generosa,1,0.020755500207555,2011,lavoro,409605.0,4181459.0,368179,4215633
082062,Roccapalumba,1,0.020755500207555,2011,lavoro,381289.0,4184444.0,368179,4215633
082059,Pollina,1,0.020755500207555,2011,lavoro,422973.0,4205379.0,368179,4215633
082066,Santa Cristina Gela,1,0.020755500207555,2011,lavoro,353588.0,4204415.0,368179,4215633
