territorio,anno,tavola,genere,eta,eta_anni,cittadinanza,titolo_studio,condizione,valore
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,22,130.4416023561359
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,22,129.63422260627203
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,23,3309.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,23,3328.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,23,3477.8324197245
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,23,3512.83940572268
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,23,3565.558397643864
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,23,3570.3657773937275
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,24,2012.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,24,2091.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,24,2172.36694255019
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,24,2186.66379999447
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,24,2099.217198225191
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,24,2060.291955543979
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,4,856.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,4,853.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,4,916.641787018027
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,4,967.393817500064
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,4,983.0539557779872
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,4,1036.041245221145
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,5,6.32794255953409e-05
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,5,1.03596664663112
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,5,1.7852403802779837
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,5,0.649510011742763
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,7,441.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,7,384.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,7,388.823626876864
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,7,357.745821581521
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,7,481.5020032604078
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,7,473.3830666168613
081008,2018,lavoro,F,Y_GE65,,TOTAL,ALL,99,3469.0
081008,2019,lavoro,F,Y_GE65,,TOTAL,ALL,99,3505.0
081008,2020,lavoro,F,Y_GE65,,TOTAL,ALL,99,3577.0
081008,2021,lavoro,F,Y_GE65,,TOTAL,ALL,99,3607.0
081008,2022,lavoro,F,Y_GE65,,TOTAL,ALL,99,3654.0
081008,2023,lavoro,F,Y_GE65,,TOTAL,ALL,99,3696.0
081008,2024,lavoro,F,Y_GE65,,TOTAL,ALL,99,3700.0
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,1,145.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,1,158.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,1,135.0
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,1,162.0
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,1,155.0
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,1,157.0
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,12,173.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,12,147.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,12,98.1497852098769
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,12,88.0977254540051
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,12,94.66371885841107
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,12,79.51557861650132
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,22,318.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,22,305.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,22,233.149785209877
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,22,250.097725454005
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,22,249.66371885841107
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,22,236.5155786165013
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,23,1096.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,23,1098.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,23,1138.85021479012
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,23,1104.90227454599
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,23,1081.3362811415889
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,23,1068.4844213834986
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,24,2.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,24,2.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,24,1.26390038872478
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,24,1.62308433486211
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,24,0.927928801171122
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,24,1.222435246010068
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,4,124.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,4,98.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,4,135.115490703491
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,4,113.137013068044
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,4,96.25878065002873
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,4,100.42566139158107
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,5,869.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,5,940.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,5,926.199441929307
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,5,926.55790959385
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,5,925.3527051444267
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,5,902.0007583511732
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,7,101.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,7,58.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,7,76.2713817685998
