indicatore,anno,valore,percentile_390,nome_indicatore,direzione
I5,1991,40.8,55.9,Uscita precoce dal sistema di istruzione e formazione,alto = sfavorevole
I5,2001,30.1,69.5,Uscita precoce dal sistema di istruzione e formazione,alto = sfavorevole
I5,2011,28.6,83.1,Uscita precoce dal sistema di istruzione e formazione,alto = sfavorevole
