territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081001,2021,M,Y15-24,TOTAL,ALL,4,32.1698684208506
081001,2022,M,Y15-24,TOTAL,ALL,4,25.0101438971813
081001,2023,M,Y15-24,TOTAL,ALL,4,24.97569915738317
081001,2024,M,Y15-24,TOTAL,ALL,4,23.57016813153589
081001,2018,M,Y15-24,TOTAL,ALL,5,1580.0
081001,2019,M,Y15-24,TOTAL,ALL,5,1629.0
081001,2021,M,Y15-24,TOTAL,ALL,5,1528.55599652358
081001,2022,M,Y15-24,TOTAL,ALL,5,1551.06669387862
081001,2023,M,Y15-24,TOTAL,ALL,5,1580.882169943925
081001,2024,M,Y15-24,TOTAL,ALL,5,1501.319517594915
081001,2018,M,Y15-24,TOTAL,ALL,7,421.0
081001,2019,M,Y15-24,TOTAL,ALL,7,324.0
081001,2021,M,Y15-24,TOTAL,ALL,7,370.714623639727
081001,2022,M,Y15-24,TOTAL,ALL,7,306.034874409328
081001,2023,M,Y15-24,TOTAL,ALL,7,247.57865790856857
081001,2024,M,Y15-24,TOTAL,ALL,7,282.16770152921146
081001,2018,M,Y15-24,TOTAL,ALL,99,2907.0
081001,2019,M,Y15-24,TOTAL,ALL,99,2848.0
081001,2021,M,Y15-24,TOTAL,ALL,99,2693.0
081001,2022,M,Y15-24,TOTAL,ALL,99,2690.0
081001,2023,M,Y15-24,TOTAL,ALL,99,2633.9999999999995
081001,2024,M,Y15-24,TOTAL,ALL,99,2574.9999999999995
081001,2018,T,Y15-24,TOTAL,ALL,1,689.0
081001,2019,T,Y15-24,TOTAL,ALL,1,639.0
081001,2021,T,Y15-24,TOTAL,ALL,1,735.0
081001,2022,T,Y15-24,TOTAL,ALL,1,817.0
081001,2023,T,Y15-24,TOTAL,ALL,1,829.0
081001,2024,T,Y15-24,TOTAL,ALL,1,826.0
081001,2018,T,Y15-24,TOTAL,ALL,12,706.0
081001,2019,T,Y15-24,TOTAL,ALL,12,709.0
081001,2021,T,Y15-24,TOTAL,ALL,12,386.789237331908
081001,2022,T,Y15-24,TOTAL,ALL,12,370.61046333537
081001,2023,T,Y15-24,TOTAL,ALL,12,308.0556551432015
081001,2024,T,Y15-24,TOTAL,ALL,12,276.62887375540697
081001,2018,T,Y15-24,TOTAL,ALL,22,1395.0
081001,2019,T,Y15-24,TOTAL,ALL,22,1348.0
081001,2021,T,Y15-24,TOTAL,ALL,22,1121.78923733191
081001,2022,T,Y15-24,TOTAL,ALL,22,1187.61046333537
081001,2023,T,Y15-24,TOTAL,ALL,22,1137.0556551432014
081001,2024,T,Y15-24,TOTAL,ALL,22,1102.628873755407
