territorio,nome_territorio,anno,genere,stato,quota,persone,destinazione
082006,Bagheria,2023,F,in cerca,10.3,296.6,fuori ma in cerca
082006,Bagheria,2023,M,in cerca,12.5,375.0,fuori ma in cerca
082006,Bagheria,2023,T,in cerca,11.4,671.6,fuori ma in cerca
082006,Bagheria,2024,F,in cerca,6.9,197.9,fuori ma in cerca
082006,Bagheria,2024,M,in cerca,8.9,269.5,fuori ma in cerca
082006,Bagheria,2024,T,in cerca,7.9,467.4,fuori ma in cerca
082053,Palermo,2018,F,in cerca,18.8,6441.0,fuori ma in cerca
082053,Palermo,2018,M,in cerca,20.4,7435.0,fuori ma in cerca
082053,Palermo,2018,T,in cerca,19.6,13876.0,fuori ma in cerca
082053,Palermo,2019,F,in cerca,17.7,5988.0,fuori ma in cerca
082053,Palermo,2019,M,in cerca,20.0,7172.0,fuori ma in cerca
082053,Palermo,2019,T,in cerca,18.9,13160.0,fuori ma in cerca
082053,Palermo,2021,F,in cerca,8.7,2811.5,fuori ma in cerca
082053,Palermo,2021,M,in cerca,11.8,4069.8,fuori ma in cerca
082053,Palermo,2021,T,in cerca,10.3,6881.2,fuori ma in cerca
082053,Palermo,2022,F,in cerca,9.0,2918.0,fuori ma in cerca
082053,Palermo,2022,M,in cerca,11.1,3786.6,fuori ma in cerca
082053,Palermo,2022,T,in cerca,10.0,6704.6,fuori ma in cerca
082053,Palermo,2023,F,in cerca,8.4,2744.5,fuori ma in cerca
082053,Palermo,2023,M,in cerca,10.7,3664.2,fuori ma in cerca
082053,Palermo,2023,T,in cerca,9.6,6408.8,fuori ma in cerca
082053,Palermo,2024,F,in cerca,7.2,2344.2,fuori ma in cerca
082053,Palermo,2024,M,in cerca,9.3,3209.2,fuori ma in cerca
082053,Palermo,2024,T,in cerca,8.3,5553.4,fuori ma in cerca
IT,Italia,2018,F,in cerca,10.9,305732.0,fuori ma in cerca
IT,Italia,2018,M,in cerca,11.3,343119.0,fuori ma in cerca
IT,Italia,2018,T,in cerca,11.1,648851.0,fuori ma in cerca
IT,Italia,2019,F,in cerca,9.7,270840.0,fuori ma in cerca
IT,Italia,2019,M,in cerca,10.3,312951.0,fuori ma in cerca
IT,Italia,2019,T,in cerca,10.0,583791.0,fuori ma in cerca
IT,Italia,2021,F,in cerca,7.0,193252.4,fuori ma in cerca
IT,Italia,2021,M,in cerca,7.4,222575.6,fuori ma in cerca
IT,Italia,2021,T,in cerca,7.2,415828.0,fuori ma in cerca
IT,Italia,2022,F,in cerca,6.3,175745.0,fuori ma in cerca
IT,Italia,2022,M,in cerca,6.5,196861.6,fuori ma in cerca
IT,Italia,2022,T,in cerca,6.4,372606.6,fuori ma in cerca
IT,Italia,2023,F,in cerca,6.1,171322.9,fuori ma in cerca
IT,Italia,2023,M,in cerca,6.3,193849.2,fuori ma in cerca
IT,Italia,2023,T,in cerca,6.2,365172.1,fuori ma in cerca
IT,Italia,2024,F,in cerca,5.9,166957.5,fuori ma in cerca
IT,Italia,2024,M,in cerca,6.4,197726.8,fuori ma in cerca
IT,Italia,2024,T,in cerca,6.2,364684.4,fuori ma in cerca
ITG1,Sicilia,2018,F,in cerca,15.9,41101.0,fuori ma in cerca
ITG1,Sicilia,2018,M,in cerca,17.1,47833.0,fuori ma in cerca
ITG1,Sicilia,2018,T,in cerca,16.5,88934.0,fuori ma in cerca
ITG1,Sicilia,2019,F,in cerca,15.3,39001.0,fuori ma in cerca
ITG1,Sicilia,2019,M,in cerca,17.0,46651.0,fuori ma in cerca
ITG1,Sicilia,2019,T,in cerca,16.2,85652.0,fuori ma in cerca
ITG1,Sicilia,2021,F,in cerca,7.9,19429.6,fuori ma in cerca
ITG1,Sicilia,2021,M,in cerca,10.2,27280.6,fuori ma in cerca
ITG1,Sicilia,2021,T,in cerca,9.1,46710.2,fuori ma in cerca
ITG1,Sicilia,2022,F,in cerca,8.3,20373.1,fuori ma in cerca
ITG1,Sicilia,2022,M,in cerca,9.8,26042.8,fuori ma in cerca
ITG1,Sicilia,2022,T,in cerca,9.1,46415.9,fuori ma in cerca
ITG1,Sicilia,2023,F,in cerca,7.9,19382.8,fuori ma in cerca
ITG1,Sicilia,2023,M,in cerca,9.4,25044.7,fuori ma in cerca
ITG1,Sicilia,2023,T,in cerca,8.7,44427.5,fuori ma in cerca
ITG1,Sicilia,2024,F,in cerca,6.6,16054.3,fuori ma in cerca
ITG1,Sicilia,2024,M,in cerca,8.3,22056.6,fuori ma in cerca
ITG1,Sicilia,2024,T,in cerca,7.5,38110.9,fuori ma in cerca
082006,Bagheria,2018,F,studenti,57.4,1742.0,dentro lavoro o studio
082006,Bagheria,2018,M,studenti,51.0,1636.0,dentro lavoro o studio
082006,Bagheria,2018,T,studenti,54.1,3378.0,dentro lavoro o studio
082006,Bagheria,2019,F,studenti,62.1,1853.0,dentro lavoro o studio
082006,Bagheria,2019,M,studenti,55.4,1745.0,dentro lavoro o studio
082006,Bagheria,2019,T,studenti,58.7,3598.0,dentro lavoro o studio
082006,Bagheria,2021,F,studenti,63.9,1822.5,dentro lavoro o studio
082006,Bagheria,2021,M,studenti,56.5,1716.2,dentro lavoro o studio
082006,Bagheria,2021,T,studenti,60.1,3538.7,dentro lavoro o studio
082006,Bagheria,2022,F,studenti,64.5,1837.4,dentro lavoro o studio
082006,Bagheria,2022,M,studenti,57.8,1755.6,dentro lavoro o studio
082006,Bagheria,2022,T,studenti,61.1,3593.0,dentro lavoro o studio
082006,Bagheria,2023,F,studenti,60.9,1755.2,dentro lavoro o studio
082006,Bagheria,2023,M,studenti,54.4,1630.4,dentro lavoro o studio
082006,Bagheria,2023,T,studenti,57.6,3385.6,dentro lavoro o studio
082006,Bagheria,2024,F,studenti,65.1,1875.3,dentro lavoro o studio
082006,Bagheria,2024,M,studenti,56.4,1705.9,dentro lavoro o studio
