scenario,persone,costo annuo per persona,personale,costi indiretti,totale annuo,costo per posto
"personale comunale, area Funzionari",5,44539.99,222699.95,33404.99,256104.94,1280.52
"affidamento a cooperativa sociale, livello D2",5,35812.94,179064.7,26859.7,205924.41,1029.62
