genere,orario,persone,quota
F,7:15-8:14,874.1576740678962,39.02489616374536
F,8:15-9:14,235.50505892666538,10.513618702083276
F,dopo le 9:14,128.43824624035543,5.733850278587296
F,prima delle 7:15,1001.899020765083,44.727634855584064
M,7:15-8:14,1194.1495746066112,27.87463993012631
M,8:15-9:14,200.83155410610706,4.687944773718653
M,dopo le 9:14,273.10848900227927,6.375081442630235
M,prima delle 7:15,2615.910382285003,61.06233385352481
