territorio,anno,genere,eta,eta_anni,stato_civile,valore
082006,2023,M,Y1,1.0,99,225
082006,2024,M,Y1,1.0,99,266
082006,2025,M,Y1,1.0,99,265
082006,2026,M,Y1,1.0,99,206
082006,2019,M,Y10,10.0,1,283
082006,2020,M,Y10,10.0,1,298
082006,2021,M,Y10,10.0,1,309
082006,2022,M,Y10,10.0,1,290
082006,2023,M,Y10,10.0,1,310
082006,2024,M,Y10,10.0,1,278
082006,2025,M,Y10,10.0,1,281
082006,2019,M,Y10,10.0,99,283
082006,2020,M,Y10,10.0,99,298
082006,2021,M,Y10,10.0,99,309
082006,2022,M,Y10,10.0,99,290
082006,2023,M,Y10,10.0,99,310
082006,2024,M,Y10,10.0,99,278
082006,2025,M,Y10,10.0,99,281
082006,2026,M,Y10,10.0,99,291
082006,2019,M,Y11,11.0,1,305
082006,2020,M,Y11,11.0,1,277
082006,2021,M,Y11,11.0,1,305
082006,2022,M,Y11,11.0,1,309
082006,2023,M,Y11,11.0,1,288
082006,2024,M,Y11,11.0,1,307
082006,2025,M,Y11,11.0,1,281
082006,2019,M,Y11,11.0,99,305
082006,2020,M,Y11,11.0,99,277
082006,2021,M,Y11,11.0,99,305
082006,2022,M,Y11,11.0,99,309
082006,2023,M,Y11,11.0,99,288
082006,2024,M,Y11,11.0,99,307
082006,2025,M,Y11,11.0,99,281
082006,2026,M,Y11,11.0,99,281
082006,2019,M,Y12,12.0,1,284
082006,2020,M,Y12,12.0,1,308
082006,2021,M,Y12,12.0,1,278
082006,2022,M,Y12,12.0,1,307
082006,2023,M,Y12,12.0,1,301
082006,2024,M,Y12,12.0,1,286
082006,2025,M,Y12,12.0,1,306
082006,2019,M,Y12,12.0,99,284
082006,2020,M,Y12,12.0,99,308
082006,2021,M,Y12,12.0,99,278
082006,2022,M,Y12,12.0,99,307
082006,2023,M,Y12,12.0,99,301
082006,2024,M,Y12,12.0,99,286
082006,2025,M,Y12,12.0,99,306
082006,2026,M,Y12,12.0,99,283
082006,2019,M,Y13,13.0,1,289
082006,2020,M,Y13,13.0,1,291
082006,2021,M,Y13,13.0,1,316
082006,2022,M,Y13,13.0,1,285
082006,2023,M,Y13,13.0,1,306
082006,2024,M,Y13,13.0,1,302
082006,2025,M,Y13,13.0,1,286
082006,2019,M,Y13,13.0,99,289
082006,2020,M,Y13,13.0,99,291
082006,2021,M,Y13,13.0,99,316
082006,2022,M,Y13,13.0,99,285
082006,2023,M,Y13,13.0,99,306
082006,2024,M,Y13,13.0,99,302
082006,2025,M,Y13,13.0,99,286
082006,2026,M,Y13,13.0,99,304
082006,2019,M,Y14,14.0,1,322
082006,2020,M,Y14,14.0,1,288
082006,2021,M,Y14,14.0,1,288
082006,2022,M,Y14,14.0,1,319
082006,2023,M,Y14,14.0,1,281
082006,2024,M,Y14,14.0,1,304
082006,2025,M,Y14,14.0,1,303
082006,2019,M,Y14,14.0,99,322
082006,2020,M,Y14,14.0,99,288
082006,2021,M,Y14,14.0,99,288
082006,2022,M,Y14,14.0,99,319
082006,2023,M,Y14,14.0,99,281
082006,2024,M,Y14,14.0,99,304
082006,2025,M,Y14,14.0,99,303
082006,2026,M,Y14,14.0,99,282
082006,2019,M,Y15,15.0,1,300
082006,2020,M,Y15,15.0,1,322
082006,2021,M,Y15,15.0,1,298
082006,2022,M,Y15,15.0,1,290
082006,2023,M,Y15,15.0,1,316
082006,2024,M,Y15,15.0,1,284
082006,2025,M,Y15,15.0,1,304
082006,2019,M,Y15,15.0,99,300
082006,2020,M,Y15,15.0,99,322
082006,2021,M,Y15,15.0,99,298
082006,2022,M,Y15,15.0,99,290
082006,2023,M,Y15,15.0,99,316
082006,2024,M,Y15,15.0,99,284
082006,2025,M,Y15,15.0,99,304
082006,2026,M,Y15,15.0,99,305
082006,2019,M,Y16,16.0,1,304
082006,2020,M,Y16,16.0,1,303
082006,2021,M,Y16,16.0,1,317
082006,2022,M,Y16,16.0,1,300
082006,2023,M,Y16,16.0,1,290
082006,2024,M,Y16,16.0,1,310
082006,2025,M,Y16,16.0,1,287
082006,2019,M,Y16,16.0,2,0
082006,2020,M,Y16,16.0,2,0
082006,2021,M,Y16,16.0,2,0
082006,2022,M,Y16,16.0,2,0
082006,2023,M,Y16,16.0,2,0
082006,2024,M,Y16,16.0,2,0
082006,2025,M,Y16,16.0,2,0
082006,2019,M,Y16,16.0,3,0
082006,2020,M,Y16,16.0,3,0
082006,2021,M,Y16,16.0,3,0
082006,2022,M,Y16,16.0,3,0
082006,2023,M,Y16,16.0,3,0
082006,2024,M,Y16,16.0,3,0
082006,2025,M,Y16,16.0,3,0
082006,2019,M,Y16,16.0,4,0
082006,2020,M,Y16,16.0,4,0
082006,2021,M,Y16,16.0,4,0
082006,2022,M,Y16,16.0,4,0
082006,2023,M,Y16,16.0,4,0
082006,2024,M,Y16,16.0,4,0
082006,2025,M,Y16,16.0,4,0
082006,2019,M,Y16,16.0,99,304
082006,2020,M,Y16,16.0,99,303
082006,2021,M,Y16,16.0,99,317
082006,2022,M,Y16,16.0,99,300
082006,2023,M,Y16,16.0,99,290
082006,2024,M,Y16,16.0,99,310
082006,2025,M,Y16,16.0,99,287
082006,2026,M,Y16,16.0,99,302
082006,2019,M,Y17,17.0,1,310
082006,2020,M,Y17,17.0,1,301
082006,2021,M,Y17,17.0,1,309
082006,2022,M,Y17,17.0,1,328
082006,2023,M,Y17,17.0,1,300
082006,2024,M,Y17,17.0,1,286
082006,2025,M,Y17,17.0,1,315
082006,2019,M,Y17,17.0,2,0
082006,2020,M,Y17,17.0,2,0
082006,2021,M,Y17,17.0,2,0
082006,2022,M,Y17,17.0,2,0
082006,2023,M,Y17,17.0,2,0
082006,2024,M,Y17,17.0,2,0
082006,2025,M,Y17,17.0,2,0
082006,2019,M,Y17,17.0,3,0
082006,2020,M,Y17,17.0,3,0
082006,2021,M,Y17,17.0,3,0
