territorio,territorio_nome,anno,ALL,SMPUR,OMPUR,quota_lavoratori_fuori_comune_sui_pendolari,M2,M6,nota
082006,Bagheria,2019,11629,7169,4460,38.35239487488176,14.3,8.4,Appendice: il 2019 non identifica Palermo; M2 e M6 hanno denominatori diversi.
082053,Palermo,2019,168335,160032,8303,4.932426411619687,1.9,11.2,Appendice: il 2019 non identifica Palermo; M2 e M6 hanno denominatori diversi.
IT,Italia,2019,20517799,10527723,9990076,48.689803423846776,24.2,13.4,Appendice: il 2019 non identifica Palermo; M2 e M6 hanno denominatori diversi.
ITG1,Sicilia,2019,1258543,869267,389276,30.930687310644135,12.8,8.2,Appendice: il 2019 non identifica Palermo; M2 e M6 hanno denominatori diversi.
