territorio,nome_territorio,anno,genere,fascia,popolazione,gia_coniugate,quota_gia_coniugate_pct
ITG1,Sicilia,2020,M,20-24,140635,1724,1.23
ITG1,Sicilia,2021,M,15-24,267992,1297,0.48
ITG1,Sicilia,2021,M,18-24,189581,1293,0.68
ITG1,Sicilia,2021,M,20-24,136175,1282,0.94
ITG1,Sicilia,2022,M,15-24,266915,1173,0.44
ITG1,Sicilia,2022,M,18-24,188116,1169,0.62
ITG1,Sicilia,2022,M,20-24,135701,1156,0.85
ITG1,Sicilia,2023,M,15-24,266072,1041,0.39
ITG1,Sicilia,2023,M,18-24,188757,1038,0.55
ITG1,Sicilia,2023,M,20-24,134668,1024,0.76
ITG1,Sicilia,2024,M,15-24,265609,1059,0.4
ITG1,Sicilia,2024,M,18-24,188562,1056,0.56
ITG1,Sicilia,2024,M,20-24,133726,1038,0.78
ITG1,Sicilia,2025,M,15-24,265707,969,0.36
ITG1,Sicilia,2025,M,18-24,189077,965,0.51
ITG1,Sicilia,2025,M,20-24,134550,951,0.71
IT,Italia,2019,F,15-24,2792434,61122,2.19
IT,Italia,2019,F,18-24,1968785,61039,3.1
IT,Italia,2019,F,20-24,1409999,58965,4.18
IT,Italia,2020,F,15-24,2792459,54734,1.96
IT,Italia,2020,F,18-24,1965938,54678,2.78
IT,Italia,2020,F,20-24,1406868,52880,3.76
IT,Italia,2021,F,15-24,2788038,46663,1.67
IT,Italia,2021,F,18-24,1958153,46594,2.38
IT,Italia,2021,F,20-24,1407840,45484,3.23
IT,Italia,2022,F,15-24,2775037,39775,1.43
IT,Italia,2022,F,18-24,1938579,39733,2.05
IT,Italia,2022,F,20-24,1390957,38870,2.79
IT,Italia,2023,F,15-24,2796244,38119,1.36
IT,Italia,2023,F,18-24,1959510,38086,1.94
IT,Italia,2023,F,20-24,1400261,37166,2.65
IT,Italia,2024,F,15-24,2811640,35094,1.25
IT,Italia,2024,F,18-24,1968309,35072,1.78
IT,Italia,2024,F,20-24,1405555,34212,2.43
IT,Italia,2025,F,15-24,2822968,32768,1.16
IT,Italia,2025,F,18-24,1979400,32728,1.65
IT,Italia,2025,F,20-24,1416587,31844,2.25
IT,Italia,2019,M,15-24,3043549,13925,0.46
IT,Italia,2019,M,18-24,2165930,13874,0.64
IT,Italia,2019,M,20-24,1552308,13584,0.88
IT,Italia,2020,M,15-24,3034485,12396,0.41
IT,Italia,2020,M,18-24,2155401,12365,0.57
IT,Italia,2020,M,20-24,1549020,12168,0.79
IT,Italia,2021,M,15-24,3026315,9836,0.33
IT,Italia,2021,M,18-24,2141632,9808,0.46
IT,Italia,2021,M,20-24,1549500,9692,0.63
IT,Italia,2022,M,15-24,3014421,8561,0.28
IT,Italia,2022,M,18-24,2121760,8537,0.4
IT,Italia,2022,M,20-24,1532384,8442,0.55
IT,Italia,2023,M,15-24,3037208,8794,0.29
IT,Italia,2023,M,18-24,2142328,8771,0.41
IT,Italia,2023,M,20-24,1538083,8661,0.56
IT,Italia,2024,M,15-24,3059980,8290,0.27
IT,Italia,2024,M,18-24,2159100,8259,0.38
IT,Italia,2024,M,20-24,1544804,8129,0.53
IT,Italia,2025,M,15-24,3088740,7926,0.26
IT,Italia,2025,M,18-24,2186355,7897,0.36
IT,Italia,2025,M,20-24,1567443,7780,0.5
