territorio,gap_lavoro_F_M,gap_studio_F_M,ribaltamento
Bagheria,-12.051836957324241,2.621171977168105,14.673008934492346
Comune di Palermo,-1.9928525080781485,-0.11994948633033076,1.8729030217478178
5 comuni vicini,-1.8298195369043597,3.540184498339592,5.3700040352439515
Sicilia,-4.555554883197338,1.4058238458702341,5.961378729067572
Italia,-4.779396058915161,1.7604043998948846,6.539800458810046
