anno,x,densita
2018,11.441,8.364219545559574e-07
2018,11.501,1.079707162154919e-06
2018,11.56,1.3876188854665032e-06
2018,11.619,1.7755031646229388e-06
2018,11.679,2.2618477270983745e-06
2018,11.738,2.8687973233937353e-06
2018,11.798,3.6227236078937716e-06
2018,11.857,4.554848643347097e-06
2018,11.916,5.70191933636891e-06
2018,11.976,7.106928051583389e-06
2018,12.035,8.819872331375564e-06
2018,12.094,1.0898544115456447e-05
2018,12.154,1.3409336181643645e-05
2018,12.213,1.642805081345048e-05
2018,12.272,2.0040693063675628e-05
2018,12.332,2.4344228572918835e-05
2018,12.391,2.9447283886044342e-05
2018,12.451,3.547076577287785e-05
2018,12.51,4.2548375396240636e-05
2018,12.569,5.082699347548035e-05
2018,12.629,6.046691405061067e-05
2018,12.688,7.164190722055445e-05
2018,12.747,8.453909542972372e-05
2018,12.807,9.935863357762823e-05
2018,12.866,0.0001163131904252434
2018,12.925,0.0001356272373863595
2018,12.985,0.00015753616064571733
2018,13.044,0.00018228522336113291
2018,13.104,0.0002101284161029218
2018,13.163,0.00024132724517854083
2018,13.222,0.0002761495195095483
2018,13.282,0.0003148682066224637
2018,13.341,0.00035776043638406055
2018,13.4,0.00040510673663314545
2018,13.46,0.00045719058712863565
2018,13.519,0.0005142983765987082
2018,13.578,0.0005767198415900025
2018,13.638,0.0006447490548779043
2018,13.697,0.0007186860151961771
2018,13.757,0.0007988388689913187
2018,13.816,0.0008855267690752392
2018,13.875,0.000979083344987326
2018,13.935,0.0010798607264145053
2018,13.994,0.001188234025261183
2018,14.053,0.0013046061452661039
2018,14.113,0.001429412751995825
2018,14.172,0.001563127202325443
2018,14.231,0.0017062652029497163
2018,14.291,0.001859388943860587
2018,14.35,0.0020231104368023858
2018,14.41,0.002198093782020452
2018,14.469,0.002385056090431921
2018,14.528,0.002584766803598279
2018,14.588,0.0027980451810745766
2018,14.647,0.0030257557638778626
2018,14.706,0.0032688016734699604
2018,14.766,0.003528115666771366
2018,14.825,0.0038046489377802947
2018,14.884,0.004099357733349895
2018,14.944,0.0044131879321431845
2018,15.003,0.004747057818969939
2018,15.063,0.005101839368606479
2018,15.122,0.005478338430690722
2018,15.181,0.005877274277253267
2018,15.241,0.006299259033921739
2018,15.3,0.00674477756210637
2018,15.359,0.007214168390212805
2018,15.419,0.0077076063052891166
2018,15.478,0.008225087211216588
2018,15.537,0.00876641583495129
2018,15.597,0.009331196818412976
2018,15.656,0.009918829671076275
2018,15.715,0.010528507978450473
2018,15.775,0.011159223166341901
2018,15.834,0.011809773012498775
2018,15.894,0.012478774978792195
2018,15.953,0.013164684311664942
2018,16.012,0.013865816729568627
2018,16.072,0.014580375386991218
2018,16.131,0.015306481678923015
2018,16.19,0.01604220933056317
2018,16.25,0.016785621107888483
2018,16.309,0.01753480738824987
2018,16.368,0.018287925748985134
2018,16.428,0.019043240668320107
2018,16.487,0.019799162388399686
2018,16.547,0.02055428396659128
2018,16.606,0.021307415539341464
2018,16.665,0.022057614843608582
2018,16.725,0.022804213084687212
2018,16.784,0.02354683530623528
2018,16.843,0.0242854145083442
2018,16.903,0.025020198872069657
2018,16.962,0.025751751583093434
2018,17.021,0.026480942901834607
2018,17.081,0.027208934300550953
2018,17.14,0.02793715467738757
2018,17.2,0.028667268859831924
2018,17.259,0.029401138821787926
2018,17.318,0.030140778254798457
2018,17.378,0.03088830134932014
2018,17.437,0.03164586685006552
2018,17.496,0.03241561864325833
2018,17.556,0.033199624305634175
2018,17.615,0.0339998131873215
2018,17.674,0.03481791570553521
2018,17.734,0.03565540558590422
2018,17.793,0.03651344679667987
2018,17.853,0.037392846872771585
2018,17.912,0.0382940182180388
2018,17.971,0.03921694880421498
2018,18.031,0.04016118345447567
2018,18.09,0.041125816612993644
2018,18.149,0.04210949716578787
2018,18.209,0.043110445502554336
2018,18.268,0.04412648260646421
2018,18.327,0.04515507054386494
2018,18.387,0.046193363314953856
2018,18.446,0.04723826663728841
2018,18.506,0.04828650488421033
2018,18.565,0.04933469310685066
2018,18.624,0.05037941184671686
2018,18.684,0.051417282308694745
2018,18.743,0.05244503942101398
2018,18.802,0.05345960036462899
2018,18.862,0.05445812631027333
2018,18.921,0.055438075353076655
2018,18.98,0.056397244973158
2018,19.04,0.05733380276257038
2018,19.099,0.05824630462690151
2018,19.159,0.0591337001730644
2018,19.218,0.05999532551046201
2018,19.277,0.06083088419683826
2018,19.337,0.061640417528998445
2018,19.396,0.06242426578990381
2018,19.455,0.06318302239778742
2018,19.515,0.06391748314403418
2018,19.574,0.06462859284337458
2018,19.633,0.06531739174650043
2018,19.693,0.06598496398121341
2018,19.752,0.06663239009900693
2018,19.812,0.06726070552033944
2018,19.871,0.06787086630936492
2018,19.93,0.0684637232871197
2018,19.99,0.0690400050335959
2018,20.049,0.06960030985791481
2018,20.108,0.07014510635643735
2018,20.168,0.07067474175461973
2018,20.227,0.07118945686097188
2018,20.286,0.07168940616844953
2018,20.346,0.07217468143347651
2018,20.405,0.07264533695404987
2018,20.465,0.07310141475907998
2018,20.524,0.07354296800885794
2018,20.583,0.07397008108367942
2018,20.643,0.07438288509186149
2018,20.702,0.07478156784343316
2018,20.761,0.07516637769257113
2018,20.821,0.07553762102957809
2018,20.88,0.07589565358056864
2018,20.939,0.07624086602952238
2018,20.999,0.07657366479437071
2018,21.058,0.07689444905065265
2018,21.118,0.07720358529107849
2018,21.177,0.07750138082948307
2018,21.236,0.07778805770011236
2018,21.296,0.07806372836951762
2018,21.355,0.07832837457438446
2018,21.414,0.07858183043393095
2018,21.474,0.07882377077261396
2018,21.533,0.07905370534230455
2018,21.592,0.07927097936839478
2018,21.652,0.07947478057699234
2018,21.711,0.0796641526049228
2018,21.771,0.07983801446327093
2018,21.83,0.07999518552857203
2018,21.889,0.08013441538034523
2018,21.949,0.08025441769282089
2018,22.008,0.08035390732250361
2018,22.067,0.08043163970841997
2018,22.127,0.08048645171268459
2018,22.186,0.0805173030673658
2018,22.245,0.08052331765026186
2018,22.305,0.08050382387729489
2018,22.364,0.08045839356335238
2018,22.424,0.08038687865823119
2018,22.483,0.0802894453033931
2018,22.542,0.08016660467437411
2018,22.602,0.08001924007147733
2018,22.661,0.07984862969917599
2018,22.72,0.07965646453658552
2018,22.78,0.07944486065392972
2018,22.839,0.07921636528161548
2018,22.898,0.07897395589909773
2018,22.958,0.078721031590476
2018,23.017,0.07846139592284755
2018,23.077,0.07819923065086413
2018,23.136,0.07793905964405552
2018,23.195,0.07768570257716473
2018,23.255,0.07744421812001626
2018,23.314,0.0772198366111331
2018,23.373,0.07701788249388637
2018,23.433,0.07684368712767245
2018,23.492,0.07670249294868932
2018,23.551,0.07659935033206547
2018,23.611,0.07653900888415055
2018,23.67,0.076525805254264
2018,23.73,0.07656354988219406
2018,23.789,0.07665541537471056
2018,23.848,0.07680382941587816
2018,23.908,0.07701037524852565
2018,23.967,0.07727570280687479
2018,24.026,0.07759945352515835
2018,24.086,0.07798020168968238
2018,24.145,0.07841541494154276
2018,24.204,0.078901436177293
2018,24.264,0.07943348864226685
2018,24.323,0.08000570547658958
2018,24.383,0.08061118437104194
2018,24.442,0.08124206733561794
2018,24.501,0.08188964489688266
2018,24.561,0.08254448334185555
2018,24.62,0.08319657293792058
2018,24.679,0.08383549440232864
2018,24.739,0.08445060029298668
