territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
086017,Sperlinga,440658,4177854,81.7,22.7,25.6,43.3,29.0,308,277,
086018,Troina,468017,4179065,106.3,25.7,31.3,63.6,72.8,3853,106,
086019,Valguarnera Caropepe,445696,4151850,100.4,18.4,23.2,15.4,14.9,3196,332,
086020,Villarosa,427986,4160468,81.4,19.7,25.5,24.6,26.4,2007,287,
087001,Aci Bonaccorsi,509518,4160952,151.5,27.8,33.4,76.9,84.4,1633,61,
087002,Aci Castello,512200,4156757,155.6,31.2,35.2,89.7,92.3,8275,30,
087003,Aci Catena,512453,4160078,154.6,24.7,29.9,57.7,62.3,12136,147,
087004,Acireale,513620,4164780,154.1,24.3,31.5,55.1,74.1,22951,101,
087005,Aci Sant'Antonio,510792,4164111,151.6,26.7,32.4,70.0,79.2,7848,81,
087006,Adrano,486942,4171360,126.7,14.3,18.8,1.0,0.8,14729,387,
087007,Belpasso,497419,4158853,141.2,23.8,29.7,50.5,59.7,12023,157,
087008,Biancavilla,491567,4169182,131.8,15.1,23.0,2.1,13.1,9990,339,
087009,Bronte,484495,4187232,119.7,22.4,30.6,41.0,68.2,8299,124,
087010,Calatabiano,519147,4185331,154.0,23.4,30.3,47.4,66.7,2294,130,
087011,Caltagirone,460029,4115152,136.1,23.8,28.8,50.5,54.1,15949,179,
087012,Camporotondo Etneo,500553,4156574,145.0,28.3,33.1,80.3,82.3,2117,69,
087013,Castel di Iudica,472156,4150960,122.4,18.3,22.2,13.8,8.2,1888,358,
