AnnoScolastico,territorio,DescrizioneComune,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,DescrizioneTipologiaGradoIstruzioneScuola
202526,,LIPARI,METD008015,ISA CONTI ELLER VAINICHER,VIA TORRENTE S.LUCIA,98055,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MARINEO,PATD00901P,I.T.C. DI MARINEO,VIA ETTORE MAJORANA SN,90035,ISTITUTO TECNICO COMMERCIALE
202526,,MARSALA,TPTA01201G,"IST. TEC. AGRARIO ""A. DAMIANI"" MARSALA",VIA TRAPANI 218,91025,ISTITUTO TECNICO AGRARIO
202526,,MARSALA,TPTA01250X,"I.T.A. ""A. DAMIANI"" CORSO SERALE MARSALA",VIA TRAPANI 218,91025,ISTITUTO TECNICO AGRARIO
202526,,MARSALA,TPTD03000E,"I.T.E.T. ""G. GARIBALDI"" MARSALA",VIA FICI 23,91025,ISTITUTO TECNICO COMMERCIALE
202526,,MARSALA,TPTD03050X,"I.T.E.T. ""GARIBALDI"" CORSO SERALE",VIA DANTE ALIGHIERI 120,91025,ISTITUTO TECNICO COMMERCIALE
202526,,MASCALUCIA,CTTF026016,ITI - MASCALUCIA,VIA CASE NUOVE 37,95030,ISTITUTO TECNICO INDUSTRIALE
202526,,MAZARA DEL VALLO,TPTD02601X,"I.T.S.E. ""F. FERRARA"" MAZARA DEL VALLO",VIA SAN PIO N.4 C/DA AFFACCIATA,91026,ISTITUTO TECNICO COMMERCIALE
202526,,MAZARA DEL VALLO,TPTF01401X,"I.T.I. ""R. D'ALTAVILLA"" MAZARA DEL VALLO",C/DA AFFACCIATA - PIAZZA SANDRO PERTINI,91026,ISTITUTO TECNICO INDUSTRIALE
202526,,MAZARA DEL VALLO,TPTF014519,"I.T.I. ""R. D'ALTAVILLA"" SERALE - MAZARA",C/DA AFFACCIATA - PIAZZA SANDRO PERTINI,91026,ISTITUTO TECNICO INDUSTRIALE
202526,,MAZZARINO,CLTD00701D,C.M. CARAFA,PIAZZA CARLO MARIA CARAFA,93013,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MAZZARINO,CLTD00750T,CORSO SERALE - C.A.T. - MAZZARINO,Non Disponibile,Non Disponibile,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MESSINA,META00901E,PIETRO CUPPARI,SAN PLACIDO CALONERO',98139,ISTITUTO TECNICO AGRARIO
202526,,MESSINA,METD009011,"ITC ""QUASIMODO"" MESSINA",FONDO FUCILE,98147,ISTITUTO TECNICO COMMERCIALE
202526,,MESSINA,METD037015,"IST. TEC. ECONOMICO ""A.M.JACI""",VIA CESARE BATTISTI 88,98122,ISTITUTO TECNICO COMMERCIALE
202526,,MESSINA,METD03751E,"IST. TEC. ECONOMICO "" A.M. JACI""",VIA CESARE BATTISTI 88,98122,ISTITUTO TECNICO COMMERCIALE
202526,,MESSINA,METF02701R,"IST. TECN. TECNOLOGICO ""VERONA TRENTO""",VIA UGO BASSI IS 148,98122,ISTITUTO TECNICO INDUSTRIALE
202526,,MESSINA,METF027505,IST TECN. TECNOL. VERONA TRENTO SERALE,VIA UGO BASSI IS. 148,98122,ISTITUTO TECNICO INDUSTRIALE
202526,,MESSINA,METH03701V,"I.T.T.L. ""CAIO DUILIO""",VIA GIUSEPPE LA FARINA N.70,98123,ISTITUTO TECNICO NAUTICO
202526,,MESSINA,METH037518,ITTL CAIO DUILIO MESSINA CORSO SERALE,VIA GIUSEPPE LA FARINA 70,98123,ISTITUTO TECNICO NAUTICO
202526,,MESSINA,METL00901B,G. MINUTOLI,FONDO FUCILE C.DA GAZZI,98147,ISTITUTO TECNICO PER GEOMETRI
202526,,MESSINA,METL00902C,SEDE CARCERARIA GAZZI,FONDO FUCILE GAZZI,Non Disponibile,ISTITUTO TECNICO PER GEOMETRI
202526,,MESSINA,METL00951R,G. MINUTOLI (CORSO SERALE),FONDO FUCILE C.DA GAZZI,98147,ISTITUTO TECNICO PER GEOMETRI
202526,,MESSINA,METN01901D,IST. TECNICO TURISMO GRAFICA ANTONELLO,VIALE GIOSTRA 2,98121,ISTITUTO TECNICO PER IL TURISMO
202526,,MILAZZO,METD05000E,I.T. L.DA VINCI ECONOMICO TECNOLOGICO,VIA COLONNELLO MAGISTRI,98057,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MILAZZO,METD05050X,L. DA VINCI,Non Disponibile,Non Disponibile,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MILAZZO,METF020001,ISTITUTO TECNICO TECNOLOGICO E.MAJORANA,VIA TRE MONTI 4,98057,ISTITUTO TECNICO INDUSTRIALE
202526,,MILITELLO IN VAL DI CATANIA,CTTD054014,I.S. CARRERA AFM TECN. BIOTEC SANITARIE,VIA GRENCHEN SN,95043,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MILITELLO IN VAL DI CATANIA,CTTD05450C,CORSO SERALE CARRERA MILITELLO,VIA GRENCHEN SNC,95043,ISTITUTO TECNICO COMMERCIALE
202526,,MODICA,RGTD021014,ARCHIMEDE,VIA FABRIZIO 10,97015,ISTITUTO TECNICO COMMERCIALE
202526,,MODICA,RGTD02150C,ARCHIMEDE -ALBERTI SERALE,VIA FABRIZIO 10,97015,ISTITUTO TECNICO COMMERCIALE
202526,,MODICA,RGTL02101E,IST. TECN. L.B.ALBERTI,VIA FABRIZIO 10,97015,ISTITUTO TECNICO PER GEOMETRI
202526,,MUSSOMELI,CLTD016018,G. B. HODIERNA,CONTRADA PRATO,93014,IST TEC COMMERCIALE E PER GEOMETRI
202526,,MUSSOMELI,CLTD01651N,CORSO SERALE A.F.M. - C.A.T. - MUSSOMELI,CONTRADA PRATO,93014,ISTITUTO TECNICO COMMERCIALE
202526,,NARO,AGTD02702B,"""FEDERICO II""",VIA BANDINO,92028,ISTITUTO TECNICO COMMERCIALE
202526,,NICOSIA,ENTD019014,ALESSANDRO VOLTA,VIALE VITTORIO VENETO 59,94014,IST TEC COMMERCIALE E PER GEOMETRI
202526,,NISCEMI,CLTD00201A,IST. TECN. AMM. FIN. MARK,VIA C.A. DALLA CHIESA S.N.,93015,ISTITUTO TECNICO COMMERCIALE
202526,,NOTO,SRTE016022,P.SSA G. DI SAVOIA NOTO,VIA PITAGORA,96017,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF)
202526,,NOTO,SRTL01601X,M. CARNILIVARI,VIA PLATONE 4,96017,ISTITUTO TECNICO PER GEOMETRI
202526,,PACHINO,SRTF014014,MICHELANGELO BARTOLO,VIA FIUME,96018,ISTITUTO TECNICO INDUSTRIALE
202526,,PACHINO,SRTF01451D,"I.T.I.""BARTOLO"" SERALE",VIA FIUME,96018,ISTITUTO TECNICO INDUSTRIALE
202526,,PALAGONIA,CTTD04201T,I.T.COMMERCIALE(SEZ.ASS.I.I.S.PALAGONIA),VIA C. BATTISTI S.N.,95046,ISTITUTO TECNICO COMMERCIALE
202526,,PALAGONIA,CTTD042506,IT COMM. SERALE PALAGONIA,VIA C. BATTISTI S.N.,95046,ISTITUTO TECNICO COMMERCIALE
202526,,PALAZZOLO ACREIDE,SRTF00301N,TECNICO INDUSTRIALE,VIA ANTONINO UCCELLO,96010,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATA01601B,I.T.A. AGRARIO MAJORANA,VIA G. ASTORINO 56,90146,ISTITUTO TECNICO AGRARIO
202526,082053,PALERMO,PATD023011,F. FERRARA,VIA SGARLATA 11,90133,ISTITUTO TECNICO COMMERCIALE
202526,082053,PALERMO,PATD02351A,F. FERRARA - SERALE,VIA SGARLATA 11,90133,ISTITUTO TECNICO COMMERCIALE
202526,082053,PALERMO,PATD03201Q,TD CRISPI,L.GO MARIO MINEO4,90145,ISTITUTO TECNICO COMMERCIALE
202526,082053,PALERMO,PATD032504,ALMEYDA - CRISPI,LARGO MARIO MINEO 4,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
202526,082053,PALERMO,PATD03801P,"I.T. ECONOMICO E TURISMO ""PIO LA TORRE""",VIA NINA SICILIANA 22,90135,ISTITUTO TECNICO COMMERCIALE
202526,082053,PALERMO,PATD038514,ITC. PIO LA TORRE,VIA NINA SICILIANA 22,90135,ISTITUTO TECNICO COMMERCIALE
202526,082053,PALERMO,PATD044012,ITCG E TURISMO DUCA ABRUZZI - GRASSI,VIA FAZIO N. 1,90143,IST TEC COMMERCIALE E PER GEOMETRI
202526,082053,PALERMO,PATD04451B,ITC. DUCA ABRUZZI- GRASSI,VIA FAZIO 1,90146,IST TEC COMMERCIALE E PER GEOMETRI
202526,082053,PALERMO,PATF016014,ITI MAJORANA,VIA G. ASTORINO 56,90146,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATF024013,ENRICO MEDI,VIA LEONARDO DA VINCI 364,90135,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATF02701E,A. VOLTA,PASSAGGIO DEI PICCIOTTI 1,90123,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATF02750V,IST.TECN.IND.ALESSANDRO VOLTA,VIA PASSAGGIO DEI PICCIOTTI N.1,90123,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATF02801A,E. ASCIONE,VIA CENTURIPE 11,90135,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATF030009,I.T.S.T. VITTORIO EMANUELE III,VIA DUCA DELLA VERDURA 48,90143,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATF03050P,I.T.I.V.E.III SERALE,VIA DUCA DELLA VERDURA 48,90143,ISTITUTO TECNICO INDUSTRIALE
202526,082053,PALERMO,PATH03601R,"ITTL ""GIOENI - TRABIA""",VIA VITTORIO EMANUELE 27,90133,ISTITUTO TECNICO NAUTICO
202526,082053,PALERMO,PATH036505,GIOENI TRABIA,VIA VITTORIO EMANUELE 27,90133,ISTITUTO TECNICO NAUTICO
202526,082053,PALERMO,PATL02601V,IST. TECN. GEOMETRI E TURISMO M.RUTELLI,PIAZZA GIANGIACOMO CIACCIO MONTALTO 3,90131,ISTITUTO TECNICO PER GEOMETRI
202526,082053,PALERMO,PATL026518,IST. TECN. PER GEOMETRI RUTELLI - SERALE,PIAZZA GIANGIACOMO CIACCIO MONTALTO 3,90131,ISTITUTO TECNICO PER GEOMETRI
202526,082053,PALERMO,PATL033012,FILIPPO - PARLATORE,PIAZZA MONTEVERGINI8,90134,ISTITUTO TECNICO PER GEOMETRI
202526,082053,PALERMO,PATN01000Q,MARCO POLO,VIA UGO LA MALFA 113,90146,ISTITUTO TECNICO PER IL TURISMO
202526,082053,PALERMO,PATN010505,IST.T. TURISMO MARCO POLO SERALE,VIA UGO LA MALFA 113,90146,ISTITUTO TECNICO PER IL TURISMO
202526,,PALMA DI MONTECHIARO,AGTF02201D,G .B. ODIERNA,CORSO SICILIA,92020,ISTITUTO TECNICO INDUSTRIALE
202526,,PANTELLERIA,TPTD004013,ISTITUTO TECNICO ECONOMICO PANTELLERIA,VIA NAPOLI N.32,91017,ISTITUTO TECNICO COMMERCIALE
202526,,PARTANNA,TPTD00202C,IST. TECN. ECONOMICO E AGRARIO PARTANNA,VIA A.GRAMSCI N.1,91028,ISTITUTO TECNICO COMMERCIALE
202526,,PARTINICO,PATD09000P,CARLO ALBERTO DALLA CHIESA,CORSO DEI MILLE 517,90047,IST TEC COMMERCIALE E PER GEOMETRI
202526,,PARTINICO,PATD090504,ITC C.A.DALLA CHIESA SERALE,CORSO DEI MILLE,90047,ISTITUTO TECNICO COMMERCIALE
202526,,PARTINICO,PATF03401N,ISTITUTO SUPERIORE ITI O.M. CORBINO,VIA CATANZARO 3,90047,ISTITUTO TECNICO INDUSTRIALE
202526,,PATERNO',CTTD160007,"I.T.E.""GIOACCHINO RUSSO""",VIA PARINIS.N.,95047,ISTITUTO TECNICO COMMERCIALE
202526,,PATERNO',CTTD16050L,CORSO SERALE,VIA PARINI S.N.,95047,ISTITUTO TECNICO COMMERCIALE
202526,,PATTI,METD023017,ITCG PATTI BORGHESE,VIA MONSIGNORE A.FICARRA,98066,IST TEC COMMERCIALE E PER GEOMETRI
202526,,PATTI,METD02351L,IST.TECNICO COMMERCIALE BORGHESE,VIA MONSIGNORE A.FICARRA,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
202526,,PETRALIA SOPRANA,PATF01801Q,"I.T.I. ""ELETTRONICA ED ELETTROTECNICA """,CORSO UMBERTO I,90026,ISTITUTO TECNICO INDUSTRIALE
202526,,PETRALIA SOPRANA,PATF018504,IST.TECN.INDUSTR.PETRALIA SOPRANA SERALE,CORSO UMBERTO I,90026,ISTITUTO TECNICO INDUSTRIALE
202526,,PETROSINO,TPTL01402L,SEZ. STACC. I.T.G. PETROSINO,C.DA TORREGGIANO - VIA R.R. SORRENTINO,91020,ISTITUTO TECNICO PER GEOMETRI
202526,,PETROSINO,TPTL01452E,ISTITUTO TECNICO PER GEOMETRI,C.DA TORREGGIANO VIA R.R. SORRENTINO,91020,ISTITUTO TECNICO PER GEOMETRI
202526,,PIAZZA ARMERINA,ENTD01701C,LEONARDO DA VINCI,VIA VITTORIO ALFIERI 6,94015,IST TEC COMMERCIALE E PER GEOMETRI
202526,,PIAZZA ARMERINA,ENTF007014,ETTORE MAJORANA,PIAZZA SENATORE MARESCALCHI 2,94015,ISTITUTO TECNICO INDUSTRIALE
202526,,PIAZZA ARMERINA,ENTF00750C,CORSO SERALE TURISMO - PIAZZA ARM.,PIAZZA SENATORE MARESCALCHI,94015,ISTITUTO TECNICO INDUSTRIALE
202526,,POLIZZI GENEROSA,PATD01801D,IST.TEC. COSTR. AMBIENTE E TERRITORIO,PIAZZA MATTEOTTI 1,90028,IST TEC COMMERCIALE E PER GEOMETRI
202526,,PORTO EMPEDOCLE,AGTD023024,LEONARDO SCIASCIA,VIA GIORGIO LA PIRA 10,92014,ISTITUTO TECNICO COMMERCIALE
202526,,PORTO EMPEDOCLE,AGTD02351C,"I.T.C. "" L. SCIASCIA "" SERALE",VIA G. LA PIRA 10,92014,ISTITUTO TECNICO COMMERCIALE
202526,,PORTO EMPEDOCLE,AGTF023019,N. GALLO,VIA G. LA PIRA,92014,ISTITUTO TECNICO INDUSTRIALE
202526,,POZZALLO,RGTD006012,IST. TECN. ECONOMICO G. LA PIRA,VIA PERTINI,97016,ISTITUTO TECNICO COMMERCIALE
202526,,POZZALLO,RGTH00601Q,IST. TECNOL. NAUTICO G.LA PIRA,VIA ENRICO GIUNTA,97016,ISTITUTO TECNICO NAUTICO
202526,,POZZALLO,RGTH006504,IST.TECNOL.NAUTICO SERALE G. LA PIRA -,VIA E. GIUNTA 5,97016,ISTITUTO TECNICO NAUTICO
202526,,PRIOLO GARGALLO,SRTF00904Q,IST.TEC. SETT.TECNOLOGICO,Non Disponibile,96010,ISTITUTO TECNICO INDUSTRIALE
202526,,PRIZZI,PATD01102Q,I.T.C.G. PRIZZI,C.DA CATUSIS.N.,90038,IST TEC COMMERCIALE E PER GEOMETRI
202526,,PRIZZI,PATD011503,M.PICONE,C.DA CATUSI,90038,ISTITUTO TECNICO COMMERCIALE
202526,,RAGUSA,RGTD03000T,F. BESTA,VIA ALDO MORO N. 2,97100,ISTITUTO TECNICO COMMERCIALE
202526,,RAGUSA,RGTD030518,ISTITUTO TECNICO COMMERCIALE SERALE,VIA ALDO MORO N. 2,97100,IST TECNICO ECONOMICO E TECNOLOGICO
202526,,RAGUSA,RGTF01301B,IST. TECNOL. ETTORE MAJORANA,VIA PIETRO NENNI,97100,ISTITUTO TECNICO INDUSTRIALE
202526,,RAGUSA,RGTL01801P,I.T.G. GAGLIARDI,VIALE DEI PLATANI 180,97100,ISTITUTO TECNICO PER GEOMETRI
202526,,RAMACCA,CTTD04202V,IGEA RAMACCA,VIA FASTUCHERIA 48,95040,ISTITUTO TECNICO COMMERCIALE
202526,,RAMACCA,CTTF042014,ITI RAMACCA,VIA FASTUCHERIA 48,95040,ISTITUTO TECNICO INDUSTRIALE
202526,,RANDAZZO,CTTD00601P,ENRICO MEDI,VIA PAPA GIOVANNI PAOLO II,95036,ISTITUTO TECNICO COMMERCIALE
202526,,REGALBUTO,ENTD00801N,SALVATORE CITELLI,VIA PALERMO 78,94017,ISTITUTO TECNICO COMMERCIALE
202526,,RIBERA,AGTD02101B,ITCG GIOVANNI XXIII,VIA PRESTI N. 2,92016,IST TEC COMMERCIALE E PER GEOMETRI
202526,,RIBERA,AGTD02151R,"I.T.C.G.""GIOVANNI XXIII""(CORSO SERALE)",VIA PRESTI N.2,92016,IST TEC COMMERCIALE E PER GEOMETRI
202526,,RIPOSTO,CTTD00101G,E. PANTANO,VIA ROMA 66,95018,ISTITUTO TECNICO COMMERCIALE
202526,,RIPOSTO,CTTD001511,SERALE ISTITUTO TECNICO COMMERCIALE,VIA ROMA 66,95018,ISTITUTO TECNICO COMMERCIALE
202526,,RIPOSTO,CTTH001019,LUIGI RIZZO - NAPOLEONE COLAJANNI,VIA FEDERICO CAFIERO N. 2,95018,ISTITUTO TECNICO NAUTICO
202526,,RIPOSTO,CTTL001012,ISTITUTO TECNICO L. RIZZO - N.COLAJANNI,Non Disponibile,95018,ISTITUTO TECNICO PER GEOMETRI
202526,,ROSOLINI,SRTF01701G,ISTITUTO TECNICO INDUSTRIALE STATALE,SANTA ALESSANDRA KM1,96019,ISTITUTO TECNICO INDUSTRIALE
202526,,ROSOLINI,SRTF017533,IST.TEC.IND. ROSOLINI - CORSO SERALE,VIA SANTA ALESSANDRA KM1,96019,ISTITUTO TECNICO INDUSTRIALE
202526,,SALEMI,TPTD00201B,IST. TECNICO ECONOMICO - SALEMI,VIA SAN LEONARDO S.N.C.,91018,ISTITUTO TECNICO COMMERCIALE
202526,,SALEMI,TPTD00251R,IST.TEC. ECON. -PERC. II LIVELLO -SALEMI,VIA SAN LEONARDO S.N.C.,91018,ISTITUTO TECNICO COMMERCIALE
202526,,SAN CATALDO,CLTD090016,"""M. RAPISARDI"" CARCERARIO - SAN CATALDO",PIAZZA MARCONI 1,93017,ISTITUTO TECNICO COMMERCIALE
202526,,SAN CIPIRELLO,PATA00801C,E. BASILE,VIA TRAPPETO,90040,ISTITUTO TECNICO AGRARIO
202526,,SAN GIOVANNI LA PUNTA,CTTD22000N,"I.T.E.T. ""ENRICO DE NICOLA""",VIA G. MOTTA 85,95037,IST TEC COMMERCIALE E PER GEOMETRI
202526,,SAN GIOVANNI LA PUNTA,CTTD220503,"IIS ""ENRICO DE NICOLA"" - CORSO SIRIO",VIA G. MOTTA N.87,95037,ISTITUTO TECNICO COMMERCIALE
202526,,SAN GIOVANNI LA PUNTA,CTTF140008,"ITIS ""G. FERRARIS""",VIA G. MOTTA N.85,95037,ISTITUTO TECNICO INDUSTRIALE
