territorio,anno,genere,destinazione,motivo,valore
IT,2019,T,SMPUR,STD,6857099
IT,2018,T,SMPUR,WK,10485154
IT,2019,T,SMPUR,WK,10527723
ITG1,2018,F,ALL,ALL,870943
ITG1,2019,F,ALL,ALL,878710
ITG1,2018,F,ALL,STD,397213
ITG1,2019,F,ALL,STD,397082
ITG1,2018,F,ALL,WK,473730
ITG1,2019,F,ALL,WK,481628
ITG1,2018,F,OMPUR,ALL,216151
ITG1,2019,F,OMPUR,ALL,222085
ITG1,2018,F,OMPUR,STD,81939
ITG1,2019,F,OMPUR,STD,85365
ITG1,2018,F,OMPUR,WK,134212
ITG1,2019,F,OMPUR,WK,136720
ITG1,2018,F,SMPUR,ALL,654792
ITG1,2019,F,SMPUR,ALL,656625
ITG1,2018,F,SMPUR,STD,315274
ITG1,2019,F,SMPUR,STD,311717
ITG1,2018,F,SMPUR,WK,339518
ITG1,2019,F,SMPUR,WK,344908
ITG1,2018,M,ALL,ALL,1178307
ITG1,2019,M,ALL,ALL,1181710
ITG1,2018,M,ALL,STD,408768
ITG1,2019,M,ALL,STD,404795
ITG1,2018,M,ALL,WK,769539
ITG1,2019,M,ALL,WK,776915
ITG1,2018,M,OMPUR,ALL,325438
ITG1,2019,M,OMPUR,ALL,332425
ITG1,2018,M,OMPUR,STD,77219
ITG1,2019,M,OMPUR,STD,79869
ITG1,2018,M,OMPUR,WK,248219
ITG1,2019,M,OMPUR,WK,252556
ITG1,2018,M,SMPUR,ALL,852869
ITG1,2019,M,SMPUR,ALL,849285
ITG1,2018,M,SMPUR,STD,331549
ITG1,2019,M,SMPUR,STD,324926
ITG1,2018,M,SMPUR,WK,521320
ITG1,2019,M,SMPUR,WK,524359
ITG1,2018,T,ALL,ALL,2049250
ITG1,2019,T,ALL,ALL,2060420
ITG1,2018,T,ALL,STD,805981
ITG1,2019,T,ALL,STD,801877
ITG1,2018,T,ALL,WK,1243269
ITG1,2019,T,ALL,WK,1258543
ITG1,2018,T,OMPUR,ALL,541589
ITG1,2019,T,OMPUR,ALL,554510
ITG1,2018,T,OMPUR,STD,159158
ITG1,2019,T,OMPUR,STD,165234
ITG1,2018,T,OMPUR,WK,382431
ITG1,2019,T,OMPUR,WK,389276
ITG1,2018,T,SMPUR,ALL,1507661
ITG1,2019,T,SMPUR,ALL,1505910
ITG1,2018,T,SMPUR,STD,646823
ITG1,2019,T,SMPUR,STD,636643
ITG1,2018,T,SMPUR,WK,860838
ITG1,2019,T,SMPUR,WK,869267
