territorio,territorio_nome,anno,popolazione,occupati,in_cerca,studenti,inattivi_non_studenti,fuori_lavoro_studio,quota_occupati,quota_in_cerca,quota_studenti,quota_inattivi_non_studenti,quota_fuori_lavoro_studio,inattivi_su_fuori,quota_almeno_diploma,quota_occupati_25_49,popolazione_15_34,indice_primo_anno_100,variazione_da_primo_anno_pct
082006,Bagheria,2018,6243.0,512.0,1130.0,3378.0,1223.0,2353.0,8.201185327566876,18.10027230498158,54.10860163382989,19.589940733621656,37.69021303860323,51.97620059498512,56.17606602475929,42.99312242090784,,,
082006,Bagheria,2019,6134.0,527.0,1116.0,3598.0,893.0,2009.0,8.591457450277144,18.193674600586892,58.656667753505054,14.55820019563091,32.751874796217805,44.44997511199602,56.9474158315505,44.10539353676388,,,
082006,Bagheria,2021,5891.0,595.0,627.374881447982,3538.68303511162,1129.9420834404016,1757.3169648883836,10.100152775420133,10.649717899303718,60.06930971162146,19.180819613654755,29.830537512958472,64.29927588573472,59.95550611790879,48.16462736373749,12174.0,100.0,0.0
082006,Bagheria,2022,5882.0,686.0,595.650529777339,3592.97433492239,1007.3751353002752,1603.0256650776141,11.662699761985719,10.126666606211135,61.08422874740547,17.126404884397743,27.25307149060888,62.84210897219172,61.21517486662715,49.60877296976882,12118.0,99.54000328569082,-0.45999671430918454
082006,Bagheria,2023,5879.000000000001,686.0,671.5550926775855,3385.632417833409,1135.8124894890068,1807.3675821665925,11.66865113114475,11.422947655682691,57.58857659182528,19.31982462134728,30.742772277029975,62.84346918115268,61.484332711854215,51.50658567390389,11987.0,98.46393954328897,-1.5360604567110272
082006,Bagheria,2024,5904.0,734.0,467.4284616903342,3581.198211219056,1121.3733270906107,1588.801788780945,12.432249322493226,7.917148741367449,60.6571512740355,18.99345066210384,26.910599403471288,70.57981272484703,62.3784637822071,53.59747204666991,11861.0,97.42894693609331,-2.571053063906689
082053,Palermo,2018,70758.0,6565.0,13876.0,40352.0,9965.0,23841.0,9.278102829362052,19.610503405975297,57.028180559088725,14.083213205573928,33.69371661154923,41.797743383247344,60.854710455249624,48.95887448926581,,,
082053,Palermo,2019,69607.0,6694.0,13160.0,41137.0,8616.0,21776.0,9.616848880141365,18.906144496961513,59.09894119844269,12.378065424454437,31.28420992141595,39.566495224099924,61.42288805819552,49.87603663165582,,,
082053,Palermo,2021,66629.0,7199.0,6881.23660149218,42313.8075456378,10234.955852870035,17116.192454362215,10.804604601599904,10.32769004711489,63.50659254324363,15.361112808041595,25.68880285515649,59.79691967217606,63.63932060052246,53.919964220733675,137091.0,100.0,0.0
082053,Palermo,2022,66732.0,8038.0,6704.56004242072,42854.7492735391,9134.690684040173,15839.250726460894,12.045195708205958,10.046994009501768,64.21918910498577,13.6886211773065,23.735615186808268,57.67122979359024,64.98065558657338,54.89048524179222,135977.0,99.18740106936269,-0.8125989306373071
