territorio,territorio_nome,anno,popolazione,occupati,in_cerca,studenti,inattivi_non_studenti,fuori_lavoro_studio,quota_occupati,quota_in_cerca,quota_studenti,quota_inattivi_non_studenti,quota_fuori_lavoro_studio,inattivi_su_fuori
082006,Bagheria,2018,6243.0,512.0,1130.0,3378.0,1223.0,2353.0,8.201185327566876,18.10027230498158,54.10860163382989,19.589940733621656,37.69021303860323,51.97620059498512
082006,Bagheria,2019,6134.0,527.0,1116.0,3598.0,893.0,2009.0,8.591457450277144,18.193674600586892,58.656667753505054,14.55820019563091,32.751874796217805,44.44997511199602
082006,Bagheria,2021,5891.0,595.0,627.374881447982,3538.68303511162,1129.9420834404016,1757.3169648883836,10.100152775420133,10.649717899303718,60.06930971162146,19.180819613654755,29.830537512958472,64.29927588573472
082006,Bagheria,2022,5882.0,686.0,595.650529777339,3592.97433492239,1007.3751353002752,1603.0256650776141,11.662699761985719,10.126666606211135,61.08422874740547,17.126404884397743,27.25307149060888,62.84210897219172
082006,Bagheria,2023,5879.000000000001,686.0,671.5550926775855,3385.632417833409,1135.8124894890068,1807.3675821665925,11.66865113114475,11.422947655682691,57.58857659182528,19.31982462134728,30.742772277029975,62.84346918115268
082006,Bagheria,2024,5904.0,734.0,467.4284616903342,3581.198211219056,1121.3733270906107,1588.801788780945,12.432249322493226,7.917148741367449,60.6571512740355,18.99345066210384,26.910599403471288,70.57981272484703
082053,Palermo,2018,70758.0,6565.0,13876.0,40352.0,9965.0,23841.0,9.278102829362052,19.610503405975297,57.028180559088725,14.083213205573928,33.69371661154923,41.797743383247344
082053,Palermo,2019,69607.0,6694.0,13160.0,41137.0,8616.0,21776.0,9.616848880141365,18.906144496961513,59.09894119844269,12.378065424454437,31.28420992141595,39.566495224099924
082053,Palermo,2021,66629.0,7199.0,6881.23660149218,42313.8075456378,10234.955852870035,17116.192454362215,10.804604601599904,10.32769004711489,63.50659254324363,15.361112808041595,25.68880285515649,59.79691967217606
082053,Palermo,2022,66732.0,8038.0,6704.56004242072,42854.7492735391,9134.690684040173,15839.250726460894,12.045195708205958,10.046994009501768,64.21918910498577,13.6886211773065,23.735615186808268,57.67122979359024
082053,Palermo,2023,66939.99999999999,8328.0,6408.764323054102,42794.69222672,9408.543450225894,15817.307773279996,12.440991933074399,9.573893521144463,63.92992564493577,14.055188900845378,23.62908242198984,59.482584426406895
082053,Palermo,2024,67035.0,8816.0,5553.391286022149,42379.25690284712,10286.351811130733,15839.743097152881,13.15133885283807,8.284316082676435,63.21959708040146,15.344747984084034,23.62906406676047,64.9401429558517
IT,Italia,2018,5835983.0,1071824.0,648851.0,3542878.0,572430.0,1221281.0,18.365783450705734,11.11810983685182,60.70747635831016,9.808630354132285,20.926740190984106,46.871276962468094
IT,Italia,2019,5826944.0,1102206.0,583791.0,3630369.0,510578.0,1094369.0,18.915678613008808,10.018819470377611,62.30313866067702,8.76236325593656,18.78118272631417,46.65501307145944
IT,Italia,2021,5789458.0,1162418.0,415827.961716533,3627105.30484888,584106.733434589,999934.695151122,20.07818348453344,7.182502433155798,62.650170445124225,10.089143637186572,17.27164607034237,58.41448809277608
IT,Italia,2022,5833452.0,1252712.0,372606.617173439,3712846.94926825,495286.433558314,867893.050731753,21.474626001893903,6.387412070476264,63.647510072393665,8.490451855236213,14.877863925712477,57.067680532839795
IT,Italia,2023,5871620.0,1284391.0,365172.1406756913,3722484.839827626,499572.01949668257,864744.1601723739,21.87455932093698,6.219274078971243,63.397918118468596,8.508248481623173,14.727522560594416,57.77107756322984
IT,Italia,2024,5911708.0,1319460.0,364684.3575709511,3685326.615319368,542237.0271096807,906921.3846806318,22.319437969534356,6.168849299913851,62.33945613212575,9.172256598426051,15.341105898339901,59.7887574677299
ITG1,Sicilia,2018,538311.0,60941.0,88934.0,301493.0,86943.0,175877.0,11.32077925214235,16.52093306657304,56.007215160009736,16.151072521274877,32.67200558784792,49.43397942880536
ITG1,Sicilia,2019,529159.0,62558.0,85652.0,311017.0,69932.0,155584.0,11.822155533591983,16.186439236599963,58.77571769543748,13.215687534370577,29.40212677097054,44.94806663924311
ITG1,Sicilia,2021,512782.0,66499.0,46710.2439578994,315075.774787525,84496.98125457535,131207.22521247476,12.968278917746723,9.1091816713339,61.44439055729823,16.4781488536211,25.587330524955004,64.39964042966564
ITG1,Sicilia,2022,511719.0,72565.0,46415.8854669297,320321.944291784,72416.17024128625,118832.05570821595,14.180634293430574,9.070580820123878,62.5972348675316,14.151550018913944,23.22213083903782,60.93992888509751
ITG1,Sicilia,2023,510286.0,75488.0,44427.49745377027,321042.86783842125,69327.63470780844,113755.13216157872,14.793272792120497,8.706391602703244,62.91430057623004,13.586035028946206,22.29242663164945,60.944621478119245
ITG1,Sicilia,2024,508999.0,79174.0,38110.91759292209,316362.3009084668,75351.78149861108,113462.69909153317,15.55484391914326,7.487424846202465,62.15381580483789,14.80391542981638,22.291340276018847,66.41106028847676
