indicatore,metrica,valore_1991,valore_2011,variazione_valore_pp,percentile_1991,percentile_2011,variazione_percentile,miglioramento_assoluto,convergenza_relativa
I5,Uscita precoce 15-24,40.8,28.6,-12.199999999999996,55.8974358974359,83.07692307692308,27.179487179487182,True,False
I6,Diploma/laurea 25-64,20.2,42.5,22.3,63.46153846153846,38.71794871794872,-24.743589743589737,True,False
I7,Titolo universitario 30-34,6.4,14.4,8.0,55.12820512820513,31.794871794871792,-23.33333333333334,True,False
L4,NEET 15-29,42.9,40.1,-2.799999999999997,17.17948717948718,87.82051282051282,70.64102564102564,True,False
L14,Occupazione 15-29,19.6,20.0,0.3999999999999986,32.17948717948718,12.94871794871795,-19.230769230769234,True,False
