metrica,metrica_label,anno_iniziale,anno_finale,conteggio_iniziale,conteggio_finale,variazione_conteggio,quota_iniziale_pct,quota_finale_pct,variazione_quota_pp,effetto_popolazione,effetto_tasso,check_decomposizione
occupati,Occupati,2018,2024,512.0,734.0,222.0,8.201185327566876,12.432249322493226,4.23106399492635,-27.80201826045171,249.8020182604517,2.842170943040401e-14
in_cerca,In cerca di lavoro,2018,2024,1130.0,467.4284616903342,-662.5715383096658,18.10027230498158,7.917148741367449,-10.183123563614132,-61.359923113887554,-601.2116151957783,1.1368683772161603e-13
studenti,Studenti,2018,2024,3378.0,3581.198211219056,203.1982112190558,54.10860163382989,60.6571512740355,6.548549640205607,-183.42815953868333,386.62637075773904,5.684341886080802e-14
inattivi_non_studenti,Inattivi non studenti,2018,2024,1223.0,1121.3733270906107,-101.6266729093893,19.589940733621656,18.99345066210384,-0.5964900715178167,-66.40989908697742,-35.2167738224119,2.1316282072803006e-14
fuori_lavoro_studio,Fuori da lavoro e studio,2018,2024,2353.0,1588.801788780945,-764.1982112190551,37.69021303860323,26.910599403471288,-10.779613635131945,-127.76982220086497,-636.42838901819,-1.1368683772161603e-13
