DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2019,562,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2020,566,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2021,563,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2022,583,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2023,595,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2024,591,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,4,2025,620,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2019,26182,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2020,26035,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2021,25797,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2022,25972,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2023,25886,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2024,25875,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2025,25927,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,TOTAL,99,2026,25946,e,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2019,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2020,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2021,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2022,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2023,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2024,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,1,2025,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2019,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2020,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2021,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2022,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2023,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2024,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,15,2025,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,16,2019,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,16,2020,0,,,FILTER__ITG1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_26(1.0),A,082006,JAN,1,Y_GE100,16,2021,0,,,FILTER__ITG1,,,,,,,
