scaricato_il,file,url,bytes,sha256
2026-08-25T19:11:59+00:00,censpop_lavoro_15piu_sicilia_02_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.082010+082011+082012+082013+082014+082015+082016+082017+082018+082019+082020+082021+082022+082023+082024+082025+082026+082027+082028+082029+082030+082031+082032+082033+082034+082035+082036+082037+082038+082039+082040+082041+082042...Y_GE15.TOTAL.ALL.../ALL/?detail=full",665207,9c181deaf762664392a44ac22baea7692822b171d9df1f71caa9e0282cd1dc1d
2026-08-25T19:12:18+00:00,censpop_lavoro_15piu_sicilia_03_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.082043+082044+082045+082046+082047+082048+082049+082050+082051+082052+082053+082054+082055+082056+082057+082058+082059+082060+082061+082062+082063+082064+082065+082066+082067+082068+082069+082070+082071+082072+082073+082074+082075...Y_GE15.TOTAL.ALL.../ALL/?detail=full",665622,592720561a0ead3b053939d9023c6307fe254acf7068689ade90170a03e794c0
2026-08-25T19:12:38+00:00,censpop_lavoro_15piu_sicilia_04_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.082076+082077+082078+082079+082080+082081+082082+083001+083002+083003+083004+083005+083006+083007+083008+083009+083010+083011+083012+083013+083014+083015+083016+083017+083018+083019+083020+083021+083022+083023+083024+083025+083026...Y_GE15.TOTAL.ALL.../ALL/?detail=full",664517,1c581cef8b807b98e3896a9f5e8705ddee57f2965a5a79b3d53d0d0482cfce91
2026-08-25T19:12:57+00:00,censpop_lavoro_15piu_sicilia_05_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.083027+083028+083029+083030+083031+083032+083033+083034+083035+083036+083037+083038+083039+083040+083041+083042+083043+083044+083045+083046+083047+083048+083049+083050+083051+083052+083053+083054+083055+083056+083057+083058+083059...Y_GE15.TOTAL.ALL.../ALL/?detail=full",664625,0b91b8c166184ce36578d1da58c6a5dc1c8b2afd50c52407b5e207909dcad8c9
2026-08-25T19:13:16+00:00,censpop_lavoro_15piu_sicilia_06_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.083060+083061+083062+083063+083064+083065+083066+083067+083068+083069+083070+083071+083072+083073+083074+083075+083076+083077+083078+083079+083080+083081+083082+083083+083084+083085+083086+083087+083088+083089+083090+083091+083092...Y_GE15.TOTAL.ALL.../ALL/?detail=full",664921,6fa984a06396bd9bd8596e526cf31d6ede693716a93884b4566305badf59f063
2026-08-25T19:13:38+00:00,censpop_lavoro_15piu_sicilia_07_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.083093+083094+083095+083096+083097+083098+083099+083100+083101+083102+083103+083104+083105+083106+083107+083108+084001+084002+084003+084004+084005+084006+084007+084008+084009+084010+084011+084012+084013+084014+084015+084016+084017...Y_GE15.TOTAL.ALL.../ALL/?detail=full",665470,c78ab16d89feb8010ae719350e434b93a4ede7386a2291d30da229305095f612
2026-08-25T19:13:55+00:00,censpop_lavoro_15piu_sicilia_08_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.084018+084019+084020+084021+084022+084023+084024+084025+084026+084027+084028+084029+084030+084031+084032+084033+084034+084035+084036+084037+084038+084039+084040+084041+084042+084043+085001+085002+085003+085004+085005+085006+085007...Y_GE15.TOTAL.ALL.../ALL/?detail=full",665656,a681ff9d45d55ee467dd08d79e48d707398f94dd523a5b78cf98631d896e3632
2026-08-25T19:14:15+00:00,censpop_lavoro_15piu_sicilia_09_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.085008+085009+085010+085011+085012+085013+085014+085015+085016+085017+085018+085019+085020+085021+085022+086001+086002+086003+086004+086005+086006+086007+086008+086009+086010+086011+086012+086013+086014+086015+086016+086017+086018...Y_GE15.TOTAL.ALL.../ALL/?detail=full",665696,5f1fef4ce2867e54650f0f7178fdf6990cbec8690f63ec3dc0572dab1f57cfc9
2026-08-25T19:14:36+00:00,censpop_lavoro_15piu_sicilia_10_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.086019+086020+087001+087002+087003+087004+087005+087006+087007+087008+087009+087010+087011+087012+087013+087014+087015+087016+087017+087018+087019+087020+087021+087022+087023+087024+087025+087026+087027+087028+087029+087030+087031...Y_GE15.TOTAL.ALL.../ALL/?detail=full",666565,158575f13757ac4ad804bc648fca1f23430ecc8afcbfcd86c1804eaff9d8ca8f
2026-08-25T19:14:57+00:00,censpop_lavoro_15piu_sicilia_11_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.087032+087033+087034+087035+087036+087037+087038+087039+087040+087041+087042+087043+087044+087045+087046+087047+087048+087049+087050+087051+087052+087053+087054+087055+087056+087057+087058+088001+088002+088003+088004+088005+088006...Y_GE15.TOTAL.ALL.../ALL/?detail=full",666207,62c7c0a915041740026e85aa15cc59d7dc0e071f1b5dbfff3335a8b719cfee03
2026-08-25T19:15:16+00:00,censpop_lavoro_15piu_sicilia_12_2026-08-25.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,DF_DCSS_ISTR_LAV_PEN_2_TV_3,1.0/A.088007+088008+088009+088010+088011+088012+089001+089002+089003+089004+089005+089006+089007+089008+089009+089010+089011+089012+089013+089014+089015+089016+089017+089018+089019+089020+089021...Y_GE15.TOTAL.ALL.../ALL/?detail=full",545270,48d3abc447bb6bcd6bc33ebc0d4c099e080e89cf54fbaf994ca1f989a620b96d
2026-08-25T22:06:53+00:00,popres_stato_civile_eta_2026-08-26.csv,"https://esploradati.istat.it/SDMXWS/rest/data/IT1,22_289_DF_DCIS_POPRES1_26,1.0/A.082006+082053+ITG1+IT..../ALL/?detail=full",5129640,ae32a1f88e96d4e26eb0532a2d0c783be33a2ad73a1c50cfda3e045ca4a1016d
2026-08-25T22:06:54+00:00,codelist_stato_civile_2026-08-26.json,https://esploradati.istat.it/SDMXWS/rest/codelist/IT1/CL_STATCIV2/1.0,10697,7c90cb66fbee154d41b8f48c3359b9a06e902d61957496b1c6f72db7dce88f3c
2026-08-28T21:55:39+00:00,istat_matrice_pendolarismo_1991_2026-08-28.zip,https://www.istat.it/storage/cartografia/matrici_pendolarismo/matrici_pendolarismo_1991.zip,11366726,e00725e02f12ec663e32f7f60ed08b528702fbe77e6b99b22fd476b88ca9bdd9
2026-08-28T21:55:43+00:00,istat_matrice_pendolarismo_2001_2026-08-28.zip,https://www.istat.it/storage/cartografia/matrici_pendolarismo/matrici_pendolarismo_2001.zip,14501471,b5ff766afa5b43487e472ed92ebcd4a6cddbaf673f04a3d57c60618b68ed8b70
2026-08-28T21:56:18+00:00,istat_matrice_pendolarismo_2011_2026-08-28.zip,https://www.istat.it/storage/cartografia/matrici_pendolarismo/matrici_pendolarismo_2011.zip,36016150,36ab2a95a23c75f48019274d06506887e996c2833c9ac5e994f6ced175ad3586
2026-08-28T22:08:55+00:00,istat_matrice_pendolarismo_lavoro_2021_2026-08-29.zip,https://esploradati.istat.it/databrowser/DWL/PERMPOP/MATPEN/matrix_pendoLAVORO_2021.zip,1573552,78795a98d97f75d26f14c66495f798f1ff96a3555587771a52f97e7f96d7bc51
2026-08-28T22:08:55+00:00,istat_matrice_pendolarismo_lavoro_2021_leggimi_2026-08-29.doc,https://esploradati.istat.it/databrowser/DWL/PERMPOP/MATPEN/leggimi_file_matrix_pendoLAVORO_2021.doc,48128,7974cbfaf6d67fcdbe05dae350f5f7e0f69f35fcae80b111d6cb82f2c6457fda
